# real_gdp_quarterly,gdp_deflator_quarterly,real_household_consumption_quarterly,real_government_consumption_quarterly,real_capitalformation_quarterly
2.797220591204852099e+03,5.304749540984032841e-03,1.888311485963713494e+03,4.892046694822129211e+02,2.610194927441254549e+03
3.942331651727143708e+03,6.713025047948685889e-03,2.588279620372985391e+03,7.311619735703218339e+02,2.411232708750319034e+03
4.844091550111937977e+03,7.614922664267593719e-03,3.148498415162785932e+03,8.495419449561933334e+02,2.942690213770441915e+03
6.317087607337896770e+03,8.210367540929157035e-03,4.054273184674427284e+03,9.615591263119506493e+02,3.252336493867741410e+03
2.677152759951360713e+04,1.067040390589963847e-02,1.496677599430920600e+04,1.354786024683627602e+03,8.049301167015018109e+03
2.678564962268066301e+04,1.457705813660719121e-02,1.696438960959930409e+04,1.609097001293259837e+03,8.638610755491954478e+03
