# real_gdp_quarterly,gdp_deflator_quarterly,real_household_consumption_quarterly,real_government_consumption_quarterly,real_capitalformation_quarterly
1.241156763819453772e+03,3.299269019191308772e-03,6.892430396770214429e+02,2.128853278209571727e+02,2.850566599853002117e+03
1.560860271766707683e+03,4.649796553425373548e-03,1.235151370197102551e+03,3.832826545124390236e+02,2.171524521292505597e+03
2.314509238777372957e+03,5.744539546591683268e-03,1.469975746200457706e+03,4.655007863628258633e+02,2.992838461985945287e+03
2.547078213385289018e+03,5.775876532073382849e-03,1.688618341954940661e+03,6.244823923856099555e+02,3.145953422941218378e+03
2.913129045918224074e+04,9.535715193596659700e-03,1.828187682150219553e+04,8.541642151600008219e+02,8.003089309444820174e+03
2.639682135757951619e+04,1.561338753724265428e-02,1.898101741915271850e+04,1.116421994606317412e+03,8.465909982108947588e+03
