# real_gdp_quarterly,gdp_deflator_quarterly,real_household_consumption_quarterly,real_government_consumption_quarterly,real_capitalformation_quarterly
2.839178051397699164e+03,5.418719240227298783e-03,1.924918225670509855e+03,5.375877749805076746e+02,2.573667388244990434e+03
3.831258604435093730e+03,6.937618822299912620e-03,2.542172512653193735e+03,7.638348060201697081e+02,2.461049415861787111e+03
4.730497171469580280e+03,7.800860847675311627e-03,3.022521110673686053e+03,8.842791238955530844e+02,2.995205728738952530e+03
6.408245435333706155e+03,8.343729692720605953e-03,4.007733780822310564e+03,9.801236937435911614e+02,3.213020506053367626e+03
2.689263985092099028e+04,1.037002601221634519e-02,1.474769202541295817e+04,1.320364214009735406e+03,8.039998422129345272e+03
2.660991422397298447e+04,1.455178237546315631e-02,1.700750678346129280e+04,1.619230965369303249e+03,8.745232819019460294e+03
