# real_gdp_quarterly,gdp_deflator_quarterly,real_household_consumption_quarterly,real_government_consumption_quarterly,real_capitalformation_quarterly
2.855302244739985326e+03,5.403444314627803280e-03,1.962311574666920933e+03,5.042455407374582137e+02,2.576601649242678832e+03
3.923013084184347008e+03,6.813777075353799617e-03,2.584802134481219582e+03,7.172609519138411542e+02,2.439777724727467103e+03
4.836511597453734794e+03,7.486995395784245416e-03,3.183268117440632523e+03,8.759309454126138235e+02,3.045139529233371832e+03
6.210309389900538008e+03,7.970409835449257865e-03,3.909604587270457614e+03,9.795295116788797714e+02,3.302973197751351108e+03
2.666782158885893296e+04,1.053984726311745293e-02,1.494644612046950715e+04,1.367201940108269582e+03,8.132954035545904844e+03
2.663843644414944356e+04,1.470522016533597209e-02,1.710790822780354210e+04,1.618053470676628422e+03,8.802752241153522846e+03
