# real_gdp_quarterly,gdp_deflator_quarterly,real_household_consumption_quarterly,real_government_consumption_quarterly,real_capitalformation_quarterly
6.598296193030730311e-03,5.748171674362558686e-03,8.257981988270603549e-03,6.335225231939656601e-03,2.397626533226867793e-02
7.430984125250420132e-03,5.427853587607067883e-03,7.879077148326382382e-03,8.209710995137847397e-03,3.888792949507695329e-02
7.419797662376175287e-03,5.399039258544811003e-03,7.785938329637772867e-03,9.177850579439171541e-03,3.412514542966840064e-02
7.845132736483212410e-03,5.286866926811590456e-03,7.909976841788304847e-03,9.346896412758171763e-03,3.608734510038073134e-02
7.758367105045504801e-03,5.575400949479735607e-03,7.481807561885169509e-03,9.415245266049870540e-03,3.681898324540124057e-02
8.283527723470901841e-03,5.452785260898737434e-03,8.191879244150108985e-03,9.882933848290940959e-03,3.520482911645392288e-02
