# real_gdp_quarterly,gdp_deflator_quarterly,real_household_consumption_quarterly,real_government_consumption_quarterly,real_capitalformation_quarterly
5.772862006977614799e-03,5.555143761169636235e-03,7.257003383144073477e-03,5.045429527595643969e-03,2.240917135232589272e-02
6.636270929998857974e-03,5.504159169649325625e-03,7.173566535711597622e-03,7.385442811363527454e-03,3.631284035486232603e-02
7.118930943082546828e-03,5.801775789950795216e-03,7.482983436992563138e-03,7.952308698508669255e-03,3.187955210632711922e-02
7.215112756557870259e-03,5.683689448560496488e-03,7.347515417725229182e-03,8.673867921656924426e-03,3.426803392809248117e-02
7.631620085769757166e-03,6.012894288206186745e-03,7.417204605681553681e-03,9.789656359852705672e-03,3.614147945970404979e-02
8.024495849400060249e-03,6.065711286501509689e-03,8.097073256209013845e-03,9.779848149543581351e-03,3.598161242252139597e-02
