# real_gdp_quarterly,gdp_deflator_quarterly,real_household_consumption_quarterly,real_government_consumption_quarterly,real_capitalformation_quarterly
6.778372316026963669e-03,5.655321117654687688e-03,9.147463909355052838e-03,5.417712855224561183e-03,2.191738739726446436e-02
7.795953049520830576e-03,5.463439085536278203e-03,8.521714756954028649e-03,7.787353158843388426e-03,3.826523552589783383e-02
7.546859062624426857e-03,5.583984676297219785e-03,8.212096792585839300e-03,8.481264878535121898e-03,3.339082384783981228e-02
7.737409908983024914e-03,5.613246911234644719e-03,8.033145224538955353e-03,8.973250262855548415e-03,3.540888119793154931e-02
7.578605519505247391e-03,6.015053026234237245e-03,7.505218040124523628e-03,9.549428440896304271e-03,3.660281734336575526e-02
7.882926593394325165e-03,5.884546949837864659e-03,8.028898023070900683e-03,9.631848223644330631e-03,3.521734003989163142e-02
