# real_gdp_quarterly,gdp_deflator_quarterly,real_household_consumption_quarterly,real_government_consumption_quarterly,real_capitalformation_quarterly
7.019443990376572629e-03,4.948556632582402914e-03,8.024307239710815054e-03,6.778737451671901226e-03,3.364800703215831135e-02
8.287096489544835964e-03,5.889333076632103509e-03,8.878493712174952146e-03,8.806460500779867556e-03,3.674437060222966733e-02
9.590743690085397344e-03,6.239351622648933032e-03,9.766642004464240467e-03,1.003564312176391700e-02,3.878335861490431191e-02
1.088742634790256653e-02,6.332600968757740555e-03,1.078387339761810448e-02,1.068175188584629190e-02,4.086536368045283474e-02
5.206498809988813203e-02,6.984905251569535622e-03,4.946186565134048918e-02,1.213347326445025215e-02,8.443055096922993941e-02
5.673494442038382740e-02,7.812801994419501031e-03,5.381857167477416271e-02,1.250888524346912938e-02,8.760530509769592911e-02
