# real_gdp_quarterly,gdp_deflator_quarterly,real_household_consumption_quarterly,real_government_consumption_quarterly,real_capitalformation_quarterly
6.918542319835907506e-03,4.829754502782591941e-03,7.900173966893575539e-03,6.157902215060850892e-03,3.373096549308840508e-02
8.644127701567711625e-03,5.732910691037568229e-03,9.097864981176408128e-03,8.987192533063280767e-03,3.684754562107488141e-02
9.607310416166990608e-03,6.092499586230945216e-03,9.633639125547932558e-03,9.994868809900612355e-03,3.865103077736263548e-02
1.052329006717550586e-02,6.262217450361606125e-03,1.058770296697799859e-02,1.056762058385806932e-02,4.185241333842261435e-02
5.221997366762610310e-02,6.938828868891870963e-03,4.965737683381589440e-02,1.198613742314928385e-02,8.500498734389133615e-02
5.671253747536636469e-02,7.850471523861377379e-03,5.380566692610341817e-02,1.247997715209496830e-02,8.805623637827594830e-02
