# real_gdp_quarterly,gdp_deflator_quarterly,real_household_consumption_quarterly,real_government_consumption_quarterly,real_capitalformation_quarterly
7.028472303447941272e-03,4.895417892997029619e-03,8.180661369011410500e-03,6.344593998786507427e-03,3.339810005225896106e-02
8.667645370394889970e-03,5.888283629108873735e-03,9.212237991297389517e-03,9.020372379456569056e-03,3.638320167057129684e-02
9.511384003360105061e-03,6.077640781373986820e-03,1.008435260603851580e-02,1.020102537994915792e-02,3.848162467757929028e-02
1.072862878571775001e-02,6.294007871326298340e-03,1.093938032674515379e-02,1.095435872998225604e-02,4.066357064618292272e-02
5.263272367144772312e-02,6.913429271493773225e-03,4.980169864498895649e-02,1.203440966509869772e-02,8.492936843650093770e-02
5.658193526312461225e-02,7.854788809320237264e-03,5.374079369345582946e-02,1.259823594714073493e-02,8.756251790976517235e-02
