# real_gdp_quarterly,gdp_deflator_quarterly,real_household_consumption_quarterly,real_government_consumption_quarterly,real_capitalformation_quarterly
6.797161953033814541e-03,4.150501080787710739e-03,7.646255750624497693e-03,6.109191454403806176e-03,3.420242350712232593e-02
8.199519320559151003e-03,5.122317637924166112e-03,8.851542153277268052e-03,8.757903121345209096e-03,3.749467860741425435e-02
9.509506228972078312e-03,5.632591307844747250e-03,9.763974655349151599e-03,9.737342840921897613e-03,3.893861959033231152e-02
1.064036734103139537e-02,5.824017728562495833e-03,1.079515880076790425e-02,1.045557983208541056e-02,4.142756736919493005e-02
5.211858040138139803e-02,6.464203915375643303e-03,4.957548497272309951e-02,1.186221778131900384e-02,8.523978619631225606e-02
5.668963659720337167e-02,7.357126669427843310e-03,5.387318011912659715e-02,1.244205783365512352e-02,8.800514708485458748e-02
