# real_gdp_quarterly,gdp_deflator_quarterly,real_household_consumption_quarterly,real_government_consumption_quarterly,real_capitalformation_quarterly
3.060736587092272032e-03,3.020079959876270648e-03,2.876235544147398571e-03,2.674016511033272536e-03,3.699310212505224627e-02
3.907171882938455937e-03,3.155096375434962228e-03,3.591044355925817298e-03,3.318709376124033376e-03,3.323636624034624620e-02
3.976454137828031900e-03,3.292224898846579911e-03,4.829805801092788842e-03,3.634886946174599974e-03,3.376570127194110371e-02
4.091500236529082429e-03,3.524812172562968686e-03,5.543197719380240848e-03,3.405515260180891172e-03,3.264276193766717932e-02
5.987391296446455125e-02,5.408841683371336251e-03,5.613511144067687836e-02,7.806600082984881464e-03,8.260290512911046268e-02
5.741393334889828559e-02,5.555804640876433644e-03,5.635456290140891666e-02,9.062787928554822542e-03,8.871624783503472000e-02
