# real_gdp_quarterly,gdp_deflator_quarterly,real_household_consumption_quarterly,real_government_consumption_quarterly,real_capitalformation_quarterly
2.141782708383456338e+03,4.790106092185553166e-03,1.595680764809614629e+03,3.956071405533730285e+02,1.665823751466567046e+03
2.884270308196231781e+03,5.522253344993351132e-03,2.109822201742786092e+03,5.807721770271479045e+02,2.025614897796119294e+03
3.313908197533322891e+03,7.404021235945031087e-03,2.096148938784229358e+03,7.282491113757727135e+02,2.002138710568264514e+03
3.704880741573745581e+03,7.869640956982091456e-03,2.227949338744732358e+03,7.772328305885201871e+02,2.669354910555633069e+03
4.692304502335075995e+03,1.315430913803854011e-02,2.656691437866761589e+03,1.290730651483449492e+03,3.327039258296690605e+03
6.135108556733981459e+03,1.912656674163029646e-02,3.091193117859953418e+03,1.528820481094478964e+03,3.246669915126868545e+03
