# real_gdp_quarterly,gdp_deflator_quarterly,real_household_consumption_quarterly,real_government_consumption_quarterly,real_capitalformation_quarterly
2.103768312030471861e+03,6.710300465064933384e-03,1.700713768529196386e+03,4.024889834715650068e+02,1.411706383732402173e+03
2.998094736187204035e+03,7.410206820920859846e-03,2.045855021653432914e+03,5.583301944772715615e+02,1.883725639833119203e+03
3.355643520413554143e+03,8.298565964071153572e-03,2.405658413489642044e+03,6.381502528063846285e+02,1.815355891842097662e+03
4.135541022960867849e+03,8.804690060081426378e-03,2.664076346655507223e+03,7.393961862761464090e+02,2.761223819400080629e+03
4.433376505056222413e+03,1.322764292322478955e-02,2.782762406100815497e+03,1.105061601660750512e+03,3.146515601345237883e+03
5.352668199501527852e+03,1.677531436345759686e-02,3.136857064691241249e+03,1.281190715293536414e+03,2.944877041681079390e+03
