# real_gdp_quarterly,gdp_deflator_quarterly,real_household_consumption_quarterly,real_government_consumption_quarterly,real_capitalformation_quarterly
8.828214146943646483e+02,4.068672306029696983e-03,6.385209393259719945e+02,3.076112568708485924e+02,9.379459333410050021e+02
1.396150352521518698e+03,5.281488027630291265e-03,5.826570273863411558e+02,3.636499236453816479e+02,1.736755496578033672e+03
1.387591970543621755e+03,7.111903881325833642e-03,5.678287099841842291e+02,3.880530503881752793e+02,1.748029034543326588e+03
1.972551907279505258e+03,7.611127912120386682e-03,5.505144297795727653e+02,3.775802881548567029e+02,2.736488089729105013e+03
2.029272987954989048e+03,1.374543643428977578e-02,8.199330299436974201e+02,7.281415924573798293e+02,3.617045098671115284e+03
2.116580019735681162e+03,1.952796364078784527e-02,1.988651593541336524e+03,1.182542401883128150e+03,3.427702413662994786e+03
