# real_gdp_quarterly,gdp_deflator_quarterly,real_household_consumption_quarterly,real_government_consumption_quarterly,real_capitalformation_quarterly
2.422665907285700087e+03,6.012476225333296398e-03,1.901166359243812622e+03,3.569597606851093587e+02,1.451503791067538259e+03
3.086785127631554133e+03,7.700105524491433415e-03,1.925246045105780922e+03,6.324621628768538812e+02,1.923618751483312280e+03
3.298146890542384426e+03,9.485804255226118475e-03,2.184570945193871466e+03,7.171036294905773048e+02,1.832003676041000745e+03
3.670748501931700957e+03,8.969737127081118394e-03,2.285095606259644228e+03,8.242111749171499469e+02,2.685684974011895065e+03
4.352603895773405384e+03,1.316613318930751411e-02,2.818996687151328842e+03,1.246431988146447111e+03,3.282916676290847136e+03
6.204387744501605084e+03,1.639561308256450370e-02,3.456997816173777210e+03,1.411789708836483896e+03,3.014601710708663632e+03
