omega,lambda_p,pi_bar
7.952189445495605469e-02,2.860783576965332031e+00,2.656705379486083984e-01
8.655043244361877441e-01,7.992233633995056152e-01,3.576786518096923828e-01
2.999907433986663818e-01,3.319232463836669922e+00,9.514256715774536133e-01
8.164595365524291992e-01,1.153697967529296875e+00,7.091068029403686523e-01
7.555735111236572266e-01,2.340985536575317383e+00,4.771440327167510986e-01
5.562020540237426758e-01,4.493707180023193359e+00,1.185923933982849121e+00
7.397506237030029297e-01,4.232594013214111328e+00,8.816373944282531738e-01
9.915136545896530151e-02,4.219678878784179688e+00,1.254212617874145508e+00
9.115971326828002930e-01,1.079642653465270996e+00,1.726647615432739258e-01
4.095461070537567139e-01,1.919424176216125488e+00,9.983150959014892578e-01
8.048470616340637207e-01,1.420077681541442871e+00,6.941220760345458984e-01
5.662319064140319824e-01,2.842977046966552734e+00,4.251049160957336426e-01
6.892417669296264648e-01,3.306809663772583008e+00,8.788011074066162109e-01
7.056470513343811035e-01,3.841099739074707031e+00,6.735399961471557617e-01
1.887988001108169556e-01,4.268242359161376953e+00,1.128521919250488281e+00
4.775779843330383301e-01,2.256161689758300781e+00,1.075278759002685547e+00
2.686917781829833984e-01,3.773704171180725098e-01,5.751340389251708984e-01
2.075127512216567993e-01,3.700774669647216797e+00,7.758449763059616089e-02
8.488422632217407227e-01,3.526975393295288086e+00,1.345631837844848633e+00
2.571696648374199867e-03,2.408518791198730469e+00,8.648430109024047852e-01
2.907509505748748779e-01,1.845068216323852539e+00,1.282806545495986938e-01
3.602359890937805176e-01,4.137721538543701172e+00,9.660459756851196289e-01
9.758458733558654785e-01,2.443996429443359375e+00,1.422048807144165039e+00
8.256684541702270508e-01,3.985743522644042969e+00,7.300130128860473633e-01
6.173824071884155273e-01,7.424634695053100586e-02,7.500299811363220215e-01
2.315917760133743286e-01,3.679980933666229248e-01,9.678354263305664062e-01
7.862201333045959473e-01,1.546130776405334473e+00,2.486207634210586548e-01
5.387190580368041992e-01,7.810057997703552246e-01,6.087971925735473633e-01
5.397391915321350098e-01,5.759048461914062500e-01,7.389416694641113281e-01
1.644479036331176758e-01,3.555508613586425781e+00,5.160040259361267090e-01
1.998711079359054565e-01,3.918258666992187500e+00,5.829846858978271484e-02
5.979508757591247559e-01,3.824599742889404297e+00,1.283370137214660645e+00
2.296724766492843628e-01,3.159898996353149414e+00,1.120352506637573242e+00
8.422159552574157715e-01,6.953337788581848145e-01,2.477636635303497314e-01
7.118327170610427856e-02,3.791605472564697266e+00,1.072759330272674561e-01
5.526802316308021545e-02,3.239670753479003906e+00,1.211828470230102539e+00
5.901762843132019043e-01,1.870622336864471436e-01,1.140081048011779785e+00
1.903211921453475952e-01,1.669056534767150879e+00,1.123594269156455994e-01
4.338461905717849731e-02,1.318996310234069824e+00,5.952754616737365723e-01
7.575592398643493652e-01,3.104960441589355469e+00,1.393580198287963867e+00
5.436901450157165527e-01,4.571691513061523438e+00,1.374424457550048828e+00
6.090398430824279785e-01,1.635357618331909180e+00,1.742166429758071899e-01
2.337390556931495667e-03,3.046784162521362305e+00,9.623501300811767578e-01
9.262855648994445801e-01,9.729661345481872559e-01,4.834566265344619751e-03
6.715774536132812500e-01,1.611539363861083984e+00,6.495530605316162109e-01
5.241075158119201660e-01,3.286037445068359375e+00,7.819169163703918457e-01
9.683459401130676270e-01,3.524230003356933594e+00,8.650329113006591797e-01
5.656481981277465820e-01,4.883632183074951172e+00,5.066066980361938477e-01
6.045389175415039062e-01,3.436794996261596680e+00,4.919856786727905273e-01
1.905221343040466309e-01,3.996496438980102539e+00,1.346764683723449707e+00
7.893102765083312988e-01,3.865568935871124268e-01,5.048584938049316406e-02
1.783052682876586914e-01,2.068959951400756836e+00,1.020089268684387207e+00
9.627912640571594238e-01,4.719881534576416016e+00,3.362311720848083496e-01
2.036829590797424316e-01,3.452508687973022461e+00,1.097364544868469238e+00
3.923106491565704346e-01,4.645751953125000000e+00,8.189594745635986328e-01
3.176398277282714844e-01,1.918085217475891113e+00,5.873897671699523926e-01
6.161224842071533203e-01,9.844350814819335938e-01,8.160684108734130859e-01
8.865029811859130859e-01,8.550520539283752441e-01,6.518336534500122070e-01
9.462739229202270508e-01,6.727626919746398926e-02,1.281097531318664551e+00
7.208242416381835938e-01,4.471512317657470703e+00,8.295909166336059570e-01
3.885175585746765137e-01,1.775730013847351074e+00,1.112651467323303223e+00
8.650472164154052734e-01,2.507859706878662109e+00,6.750364899635314941e-01
1.493027508258819580e-01,6.293116211891174316e-01,1.101415634155273438e+00
3.799347281455993652e-01,3.663484334945678711e+00,6.462035179138183594e-01
8.524054288864135742e-01,5.445348620414733887e-01,1.178757250308990479e-01
8.861746788024902344e-01,3.100995540618896484e+00,1.155098676681518555e+00
3.493322730064392090e-01,4.727928638458251953e+00,9.282906353473663330e-02
6.221470236778259277e-01,1.734256386756896973e+00,1.360243439674377441e+00
5.884671211242675781e-01,2.389694452285766602e+00,1.198143959045410156e+00
1.345388144254684448e-01,2.872137784957885742e+00,8.049829304218292236e-02
7.094618082046508789e-01,3.293437957763671875e+00,1.917145997285842896e-01
8.823038339614868164e-01,1.560142040252685547e+00,3.154318779706954956e-02
6.120647117495536804e-02,1.068182468414306641e+00,1.152927652001380920e-01
7.291914224624633789e-01,2.080233097076416016e+00,1.074786186218261719e+00
7.294684052467346191e-01,2.677019238471984863e-01,1.850140094757080078e-01
5.218654870986938477e-01,2.660865485668182373e-01,1.256065249443054199e+00
9.088384509086608887e-01,1.144354224205017090e+00,2.101778686046600342e-01
2.259460389614105225e-01,4.894650936126708984e+00,7.672954797744750977e-01
7.802875041961669922e-01,3.898943185806274414e+00,4.300038814544677734e-01
8.577651977539062500e-01,3.135317564010620117e+00,5.340254902839660645e-01
7.213181257247924805e-01,4.800358116626739502e-01,4.617563784122467041e-01
5.758885294198989868e-02,1.085819244384765625e+00,9.799027442932128906e-01
2.798045575618743896e-01,4.986956119537353516e+00,1.199478745460510254e+00
2.435494363307952881e-01,5.269171595573425293e-01,1.115521669387817383e+00
2.729018032550811768e-01,1.394243836402893066e+00,7.367876768112182617e-01
9.072213768959045410e-01,4.478895664215087891e-01,1.488044112920761108e-01
1.449660658836364746e-01,2.880566835403442383e+00,2.884461879730224609e-01
9.407213330268859863e-01,2.863644599914550781e+00,3.428391646593809128e-03
3.094160258769989014e-01,4.202776432037353516e+00,1.040873527526855469e+00
3.949778676033020020e-01,4.538659095764160156e+00,1.034836292266845703e+00
2.515336275100708008e-01,5.026392936706542969e-01,1.247456595301628113e-01
5.041142106056213379e-01,5.709182620048522949e-01,1.263792254030704498e-02
2.190131694078445435e-01,4.235102236270904541e-01,1.152416706085205078e+00
6.780909299850463867e-01,2.432720422744750977e+00,5.591338872909545898e-01
1.784477382898330688e-01,2.815615653991699219e+00,1.458070993423461914e+00
6.908489465713500977e-01,4.572185516357421875e+00,7.109973430633544922e-01
8.454829454421997070e-01,4.293773174285888672e-01,3.507130742073059082e-01
3.979284465312957764e-01,2.311131477355957031e+00,1.303651809692382812e+00
5.984456539154052734e-01,1.020585060119628906e+00,6.595473289489746094e-01
8.829328417778015137e-01,1.964190244674682617e+00,1.099824666976928711e+00
5.024518370628356934e-01,4.895766258239746094e+00,1.702173203229904175e-01
2.338688671588897705e-01,2.516597032546997070e+00,3.629748821258544922e-01
1.621758341789245605e-01,2.350177526473999023e+00,6.215189099311828613e-01
1.725135445594787598e-01,1.467125177383422852e+00,1.275145411491394043e+00
7.607221603393554688e-01,1.621238231658935547e+00,1.664668917655944824e-01
1.297785341739654541e-01,2.302186727523803711e+00,5.514934062957763672e-01
6.269184947013854980e-01,1.518887042999267578e+00,7.599305510520935059e-01
5.004644393920898438e-01,3.448853969573974609e+00,1.066892981529235840e+00
7.158282995223999023e-01,4.372692584991455078e+00,7.454429268836975098e-01
7.598286867141723633e-01,3.570334911346435547e-01,3.008572161197662354e-01
1.540336906909942627e-01,3.488877534866333008e+00,4.441367462277412415e-02
7.885463833808898926e-01,4.364997863769531250e+00,5.227411389350891113e-01
4.837127625942230225e-01,1.493743956089019775e-01,1.309651017189025879e+00
6.051790118217468262e-01,1.033213973045349121e+00,8.279493451118469238e-01
2.272412739694118500e-02,1.789853453636169434e+00,1.244517803192138672e+00
1.503157019615173340e-01,1.402007937431335449e+00,4.329325854778289795e-01
4.590395092964172363e-01,3.955312013626098633e+00,1.051486134529113770e+00
5.954482555389404297e-01,6.212281528860330582e-03,1.249242424964904785e+00
4.145700037479400635e-01,7.229871749877929688e-01,2.962412536144256592e-01
9.254479408264160156e-01,3.883475780487060547e+00,4.646693468093872070e-01
5.905025005340576172e-01,3.170756578445434570e+00,5.554387569427490234e-01
1.753117293119430542e-01,3.586715936660766602e+00,1.266691088676452637e+00
5.531962513923645020e-01,8.539863824844360352e-01,9.557856321334838867e-01
7.380101084709167480e-01,3.494699478149414062e+00,8.494030833244323730e-01
9.550982713699340820e-01,1.592188239097595215e+00,8.425042629241943359e-01
6.882274746894836426e-01,3.249926090240478516e+00,7.454383969306945801e-01
5.893743634223937988e-01,3.191722631454467773e+00,9.060794711112976074e-01
4.047684371471405029e-01,4.534990787506103516e+00,5.852825045585632324e-01
8.850521445274353027e-01,8.242145180702209473e-01,5.286679267883300781e-01
4.661606252193450928e-01,4.217235565185546875e+00,8.110278248786926270e-01
1.377848386764526367e-01,1.370730400085449219e-01,1.007845997810363770e+00
3.044540621340274811e-02,1.026346802711486816e+00,1.161576151847839355e+00
5.282483696937561035e-01,5.556880831718444824e-01,3.602501451969146729e-01
5.067932605743408203e-01,3.051015377044677734e+00,2.323306351900100708e-02
7.205598056316375732e-02,3.074062764644622803e-01,1.174527883529663086e+00
5.441469550132751465e-01,1.150590181350708008e+00,8.531857728958129883e-01
5.594302415847778320e-01,8.201272785663604736e-02,2.592670619487762451e-01
3.597411811351776123e-01,2.516587972640991211e+00,9.890257120132446289e-01
6.096732616424560547e-01,7.332412004470825195e-01,6.726250648498535156e-01
4.165828526020050049e-01,2.741089344024658203e+00,4.259853363037109375e-01
1.020833943039178848e-02,1.842348337173461914e+00,1.360408902168273926e+00
2.144386023283004761e-01,3.083509445190429688e+00,6.915287971496582031e-01
4.513494968414306641e-01,2.305650711059570312e+00,1.354029655456542969e+00
7.310813069343566895e-01,3.217356681823730469e+00,1.087838649749755859e+00
2.677673101425170898e-01,2.023812770843505859e+00,6.872248649597167969e-02
6.984779238700866699e-02,2.008687734603881836e+00,8.609343767166137695e-01
6.753661632537841797e-01,1.706661701202392578e+00,5.069142580032348633e-01
3.740227520465850830e-01,1.771777153015136719e+00,7.133498191833496094e-01
1.418666727840900421e-02,2.461386919021606445e+00,1.393163681030273438e+00
1.294877678155899048e-01,3.891569614410400391e+00,8.327545523643493652e-01
7.628573775291442871e-01,8.229458928108215332e-01,1.095710247755050659e-01
7.038392424583435059e-01,2.161737442016601562e+00,1.368710994720458984e+00
7.128327488899230957e-01,2.625429928302764893e-01,4.511111974716186523e-01
3.610056638717651367e-01,2.475117683410644531e+00,1.455331206321716309e+00
1.658770889043807983e-01,3.415803670883178711e+00,1.879728734493255615e-01
1.738131046295166016e-01,7.697761058807373047e-01,1.129921197891235352e+00
3.988665342330932617e-01,2.122107744216918945e+00,1.164457201957702637e+00
7.022871971130371094e-01,2.149560689926147461e+00,4.758131504058837891e-01
7.257165312767028809e-01,3.673978805541992188e+00,3.606262803077697754e-01
1.240867301821708679e-01,2.180723905563354492e+00,9.953001141548156738e-01
8.034451305866241455e-02,1.382313847541809082e+00,9.189411401748657227e-01
9.408290982246398926e-01,2.695569038391113281e+00,3.025212287902832031e-01
5.181223750114440918e-01,2.728042125701904297e+00,3.808589279651641846e-01
4.988544806838035583e-02,5.705388188362121582e-01,1.077347397804260254e+00
5.031980872154235840e-01,3.939452409744262695e+00,1.238722920417785645e+00
9.012089371681213379e-01,7.041376233100891113e-01,2.079885751008987427e-01
1.224574744701385498e-01,4.997435092926025391e+00,8.059197068214416504e-01
7.260075807571411133e-01,1.407304763793945312e+00,2.224432528018951416e-01
7.488743066787719727e-01,4.487107753753662109e+00,3.017297759652137756e-02
4.023382067680358887e-01,2.225580692291259766e+00,9.990285038948059082e-01
4.463265836238861084e-01,1.852206289768218994e-01,6.832821369171142578e-01
7.302089333534240723e-01,3.312279462814331055e+00,1.236108765006065369e-01
2.101615257561206818e-02,8.230922222137451172e-01,1.378028869628906250e+00
6.004016995429992676e-01,2.832399845123291016e+00,3.883198797702789307e-01
2.178151905536651611e-01,2.892811536788940430e+00,8.675807714462280273e-01
8.742880821228027344e-01,2.919651031494140625e+00,1.152778983116149902e+00
7.221683263778686523e-01,4.838906824588775635e-01,2.681490778923034668e-01
8.619607686996459961e-01,1.973380684852600098e+00,4.137597680091857910e-01
8.359346389770507812e-01,2.250664979219436646e-01,4.999186992645263672e-01
