omega,lambda_p,pi_bar
7.135107517242431641e-01,2.873424530029296875e+00,3.412936925888061523e-01
4.048301577568054199e-01,3.105575561523437500e+00,4.703937172889709473e-01
6.805280447006225586e-01,3.833084344863891602e+00,5.747499465942382812e-01
3.793878853321075439e-01,3.867237329483032227e+00,6.150674819946289062e-01
7.438464760780334473e-01,4.821571826934814453e+00,1.095288991928100586e-01
5.895381569862365723e-01,2.194310665130615234e+00,5.372392535209655762e-01
3.465530872344970703e-01,2.278984069824218750e+00,2.717896997928619385e-01
9.074509739875793457e-01,4.808191657066345215e-01,2.295597046613693237e-01
9.186857342720031738e-01,2.398008346557617188e+00,2.571278512477874756e-01
7.584801316261291504e-01,4.609260082244873047e+00,5.895748138427734375e-01
8.735879510641098022e-02,4.242885112762451172e-01,1.185331270098686218e-01
2.144320309162139893e-01,4.040110588073730469e+00,6.123298406600952148e-01
5.025386214256286621e-01,1.423934817314147949e+00,3.309219181537628174e-01
3.276149928569793701e-01,2.838328599929809570e+00,4.183886349201202393e-01
9.097028374671936035e-01,2.415170907974243164e+00,4.892193675041198730e-01
5.823483467102050781e-01,4.920132160186767578e+00,7.148444056510925293e-01
4.021622538566589355e-01,4.281477928161621094e+00,3.127675354480743408e-01
3.052902817726135254e-01,4.758826732635498047e+00,4.947509169578552246e-01
2.196380794048309326e-01,2.471444606781005859e+00,8.983737230300903320e-01
4.745875000953674316e-01,3.532667636871337891e+00,5.840805768966674805e-01
7.515512704849243164e-01,3.703464746475219727e+00,3.787138164043426514e-01
1.264490336179733276e-01,4.260025501251220703e+00,9.575319290161132812e-01
6.123494505882263184e-01,3.437549114227294922e+00,5.164389014244079590e-01
8.842472434043884277e-01,9.249497652053833008e-01,6.261295080184936523e-01
3.762583732604980469e-01,2.961489439010620117e+00,8.694179058074951172e-01
7.123761177062988281e-01,1.768573403358459473e+00,6.685743927955627441e-01
2.657772004604339600e-01,7.524066567420959473e-01,4.674957990646362305e-01
7.903457283973693848e-01,4.838361263275146484e+00,8.020755052566528320e-01
