omega,lambda_p,pi_bar
1.160733625292778015e-01,3.298171758651733398e+00,3.007232584059238434e-02
1.486037820577621460e-01,4.585359573364257812e+00,3.734933212399482727e-02
4.805883020162582397e-02,4.956162571907043457e-01,4.385389760136604309e-02
1.318668574094772339e-01,4.545988559722900391e+00,4.415984079241752625e-02
1.090549379587173462e-01,7.655801177024841309e-01,8.649110049009323120e-02
1.502540558576583862e-01,3.062967777252197266e+00,3.673626855015754700e-02
1.564502865076065063e-01,4.286495685577392578e+00,3.464018553495407104e-02
2.000274322926998138e-02,2.998192310333251953e+00,1.653977185487747192e-01
1.797316521406173706e-01,2.067601680755615234e+00,3.029386512935161591e-02
9.264554828405380249e-02,4.436691284179687500e+00,1.033983528614044189e-01
8.930871635675430298e-02,7.533785104751586914e-01,5.008045211434364319e-02
4.757335409522056580e-02,3.468119382858276367e+00,4.119599610567092896e-02
8.386281132698059082e-02,3.626179218292236328e+00,2.689657919108867645e-02
1.373189240694046021e-01,3.236239910125732422e+00,2.354182861745357513e-02
1.748980134725570679e-01,2.631798028945922852e+00,2.464670315384864807e-02
3.502146527171134949e-02,3.665524244308471680e+00,4.418018460273742676e-02
2.987008988857269287e-01,1.483705520629882812e+00,4.970445483922958374e-02
6.715921312570571899e-02,2.054769039154052734e+00,2.034180760383605957e-01
6.966465711593627930e-02,5.470446348190307617e-01,9.232828766107559204e-02
7.488358020782470703e-02,1.065157055854797363e-01,4.020924493670463562e-02
5.482049658894538879e-02,3.505155324935913086e+00,3.643099218606948853e-02
1.872451901435852051e-01,2.666122913360595703e+00,2.903325110673904419e-02
9.715393185615539551e-02,3.067966699600219727e+00,1.161671876907348633e-01
2.597854137420654297e-01,2.038194417953491211e+00,3.611234202980995178e-02
5.287167616188526154e-03,3.666584491729736328e+00,3.771574422717094421e-02
2.948145866394042969e-01,4.156345844268798828e+00,1.849532872438430786e-02
1.113268658518791199e-01,1.144360184669494629e+00,1.975598186254501343e-01
1.271923035383224487e-01,3.777263641357421875e+00,4.258088394999504089e-02
5.754512734711170197e-03,2.495613813400268555e+00,3.128527849912643433e-02
4.304507374763488770e-02,4.390536785125732422e+00,3.428463637828826904e-02
6.363328546285629272e-02,2.190314292907714844e+00,2.511356025934219360e-02
2.612025849521160126e-02,4.593822002410888672e+00,1.459485441446304321e-01
7.906923443078994751e-02,3.503082036972045898e+00,3.378462418913841248e-02
3.194806352257728577e-02,4.673391878604888916e-01,3.410347923636436462e-02
1.131153553724288940e-01,2.277237653732299805e+00,2.464420795440673828e-01
8.430296927690505981e-02,4.328450262546539307e-01,3.571338951587677002e-02
9.071081876754760742e-02,1.810731530189514160e+00,4.837583750486373901e-02
