omega,lambda_p,pi_bar
2.790847420692443848e-01,1.769717216491699219e+00,5.171718820929527283e-02
2.203963696956634521e-01,2.926317930221557617e+00,5.098209902644157410e-02
2.642859220504760742e-01,4.322030544281005859e+00,4.776475951075553894e-02
2.842725813388824463e-01,1.840908885002136230e+00,4.451311007142066956e-02
1.115439087152481079e-01,3.846567273139953613e-01,4.395216703414916992e-02
2.954545021057128906e-01,1.276426315307617188e+00,4.510836303234100342e-02
2.632249295711517334e-01,1.508396625518798828e+00,4.478066787123680115e-02
2.213141173124313354e-01,4.396058559417724609e+00,5.258688703179359436e-02
2.512025237083435059e-01,1.747326701879501343e-01,4.929833859205245972e-02
2.748659551143646240e-01,1.519453883171081543e+00,5.249352380633354187e-02
2.765924930572509766e-01,1.442345619201660156e+00,4.795132577419281006e-02
2.405417412519454956e-01,1.280483245849609375e+00,4.400019347667694092e-02
2.463413625955581665e-01,7.280405759811401367e-01,4.369174689054489136e-02
1.815343797206878662e-01,3.554936885833740234e+00,4.737459868192672729e-02
2.341043353080749512e-01,3.651066780090332031e+00,4.847951233386993408e-02
2.106056660413742065e-01,4.613318920135498047e+00,5.039869621396064758e-02
2.298843264579772949e-01,4.563123226165771484e+00,5.380839854478836060e-02
2.392471879720687866e-01,2.031256109476089478e-01,4.386869072914123535e-02
2.129603624343872070e-01,2.741214036941528320e-01,4.457309097051620483e-02
2.761225402355194092e-01,3.087111473083496094e+00,5.648994445800781250e-02
2.461127191781997681e-01,4.109237670898437500e+00,5.158501490950584412e-02
1.981813758611679077e-01,4.671129226684570312e+00,4.962882772088050842e-02
2.679961621761322021e-01,3.254843711853027344e+00,5.450322479009628296e-02
2.775161564350128174e-01,4.535652160644531250e+00,5.603597313165664673e-02
2.627028226852416992e-01,4.566956996917724609e+00,5.468616634607315063e-02
1.067933514714241028e-01,3.065359115600585938e+00,4.715941473841667175e-02
2.658527195453643799e-01,4.329431354999542236e-01,4.378681629896163940e-02
9.098659455776214600e-02,3.212436437606811523e+00,5.076344683766365051e-02
2.422965019941329956e-01,5.507138967514038086e-01,4.846647009253501892e-02
2.167329043149948120e-01,3.370350360870361328e+00,5.727202445268630981e-02
2.375195175409317017e-01,1.398085832595825195e+00,4.631160572171211243e-02
2.694072127342224121e-01,4.276668548583984375e+00,5.252876877784729004e-02
2.548522055149078369e-01,4.347625732421875000e+00,5.255169421434402466e-02
2.324730604887008667e-01,1.303538441658020020e+00,4.737537726759910583e-02
2.374230921268463135e-01,1.708935260772705078e+00,5.245015770196914673e-02
2.074328809976577759e-01,4.502702236175537109e+00,5.206879600882530212e-02
2.305370569229125977e-01,4.300505638122558594e+00,4.863901063799858093e-02
2.508354187011718750e-01,1.321100592613220215e-01,4.686954990029335022e-02
1.111501306295394897e-01,2.255898475646972656e+00,4.708478599786758423e-02
2.668190002441406250e-01,2.624834299087524414e+00,5.149196088314056396e-02
2.095348984003067017e-01,1.593093514442443848e+00,5.492153763771057129e-02
2.609711289405822754e-01,2.248203158378601074e-01,4.932400584220886230e-02
2.149753123521804810e-01,1.607744812965393066e+00,4.866685345768928528e-02
2.039775252342224121e-01,3.664936780929565430e+00,4.566734284162521362e-02
2.421518862247467041e-01,1.375473141670227051e-01,5.256111547350883484e-02
1.926000118255615234e-01,2.034738659858703613e-01,4.389337450265884399e-02
2.927139997482299805e-01,1.174913525581359863e+00,4.501640051603317261e-02
2.574817836284637451e-01,1.720102906227111816e+00,4.937622323632240295e-02
2.539274096488952637e-01,1.422739028930664062e+00,5.160742253065109253e-02
2.580314278602600098e-01,1.640588164329528809e+00,6.344390660524368286e-02
2.139748334884643555e-01,2.732375621795654297e+00,5.427246168255805969e-02
2.275114655494689941e-01,4.863301277160644531e+00,5.433280393481254578e-02
2.950701117515563965e-01,1.913971453905105591e-01,4.616411402821540833e-02
2.034192234277725220e-01,4.303768157958984375e+00,6.009583920240402222e-02
2.121884226799011230e-01,4.513668060302734375e+00,5.297766998410224915e-02
2.722105085849761963e-01,1.471389174461364746e+00,5.132459476590156555e-02
1.840301305055618286e-01,1.493684053421020508e+00,4.531050845980644226e-02
2.073824405670166016e-01,4.329864025115966797e+00,4.707526415586471558e-02
2.875713407993316650e-01,3.468315124511718750e+00,5.299831926822662354e-02
2.239360809326171875e-01,4.849962711334228516e+00,5.465615168213844299e-02
2.729153335094451904e-01,2.999686479568481445e+00,5.073058232665061951e-02
2.828147709369659424e-01,4.193827152252197266e+00,4.901561513543128967e-02
2.484505176544189453e-01,3.985616922378540039e+00,5.381807312369346619e-02
2.926847934722900391e-01,3.066989183425903320e+00,5.193423852324485779e-02
1.991755962371826172e-01,2.811358451843261719e+00,4.706243053078651428e-02
2.263093888759613037e-01,4.563540458679199219e+00,4.747344553470611572e-02
2.485799342393875122e-01,1.572765827178955078e+00,5.166341736912727356e-02
2.571523189544677734e-01,3.429430961608886719e+00,5.203355103731155396e-02
2.552362382411956787e-01,2.819964408874511719e+00,5.948117747902870178e-02
2.299735844135284424e-01,4.840167045593261719e+00,5.725246295332908630e-02
2.398782968521118164e-01,1.498348474502563477e+00,4.766534268856048584e-02
2.458960264921188354e-01,4.158658981323242188e+00,5.485995113849639893e-02
3.276458680629730225e-01,1.235970377922058105e+00,5.222265422344207764e-02
2.306410074234008789e-01,2.386118650436401367e+00,4.819663241505622864e-02
2.931286692619323730e-01,2.458209991455078125e+00,5.019204691052436829e-02
2.515355646610260010e-01,3.163955450057983398e+00,5.358125641942024231e-02
2.267188578844070435e-01,2.481827259063720703e+00,4.669840261340141296e-02
2.489209622144699097e-01,1.845996499061584473e+00,6.021279841661453247e-02
2.455879896879196167e-01,1.302250862121582031e+00,4.877077415585517883e-02
2.447868436574935913e-01,3.532863378524780273e+00,5.380171909928321838e-02
2.093475759029388428e-01,4.498710155487060547e+00,6.043554097414016724e-02
2.280643284320831299e-01,2.970708906650543213e-01,4.280083253979682922e-02
2.814464569091796875e-01,2.302888482809066772e-01,5.166994035243988037e-02
2.368168979883193970e-01,3.790411710739135742e+00,5.590969696640968323e-02
2.685399055480957031e-01,4.240240097045898438e+00,5.416408926248550415e-02
2.448484003543853760e-01,3.689291715621948242e+00,5.204483121633529663e-02
2.876448333263397217e-01,2.216551542282104492e+00,5.225774273276329041e-02
2.247939556837081909e-01,2.922091960906982422e+00,5.018236860632896423e-02
2.358086109161376953e-01,3.665659666061401367e+00,5.271238461136817932e-02
2.718764245510101318e-01,2.168143272399902344e+00,5.052269250154495239e-02
1.897537857294082642e-01,2.811682701110839844e+00,4.643477872014045715e-02
2.649590671062469482e-01,2.631408274173736572e-01,4.679512977600097656e-02
2.333502918481826782e-01,1.984845548868179321e-01,5.045298114418983459e-02
3.092364966869354248e-01,2.585996150970458984e+00,5.297740921378135681e-02
2.356205284595489502e-01,1.476291060447692871e+00,5.212453007698059082e-02
2.301363646984100342e-01,9.326045513153076172e-01,4.819829016923904419e-02
2.450537532567977905e-01,2.765553951263427734e+00,5.116959661245346069e-02
2.161533683538436890e-01,2.302347898483276367e+00,4.688015580177307129e-02
2.500207722187042236e-01,2.336065173149108887e-01,5.056751146912574768e-02
2.025669664144515991e-01,4.674458026885986328e+00,5.018764734268188477e-02
3.232526779174804688e-01,4.466792106628417969e+00,5.308872833847999573e-02
2.605248391628265381e-01,2.907752513885498047e+00,5.426475033164024353e-02
1.815834790468215942e-01,1.431246280670166016e+00,4.407347366213798523e-02
2.848449945449829102e-01,1.468017101287841797e+00,4.886351525783538818e-02
2.532706558704376221e-01,1.292313337326049805e+00,5.197186022996902466e-02
1.937028765678405762e-01,1.218170881271362305e+00,4.451103881001472473e-02
2.617194056510925293e-01,1.332341074943542480e+00,4.480100795626640320e-02
2.829140424728393555e-01,1.442270755767822266e+00,4.824755713343620300e-02
2.798265814781188965e-01,1.791136562824249268e-01,4.568468034267425537e-02
2.871437370777130127e-01,1.728480458259582520e-01,4.015033692121505737e-02
3.197930157184600830e-01,2.845310688018798828e+00,4.745688661932945251e-02
1.810154616832733154e-01,4.229983806610107422e+00,5.202594399452209473e-02
2.323643267154693604e-01,3.592273592948913574e-01,4.406214132905006409e-02
2.520601153373718262e-01,2.663729190826416016e+00,4.858229309320449829e-02
2.426356077194213867e-01,1.547724485397338867e+00,4.706444591283798218e-02
1.215177252888679504e-01,1.463512301445007324e+00,5.313897877931594849e-02
2.131802439689636230e-01,2.062795639038085938e+00,4.833626002073287964e-02
2.536287605762481689e-01,4.462138652801513672e+00,5.054960399866104126e-02
2.177248597145080566e-01,1.542139053344726562e+00,5.569394305348396301e-02
2.200479954481124878e-01,1.416501849889755249e-01,4.276626184582710266e-02
2.978151738643646240e-01,3.685802817344665527e-01,4.745253920555114746e-02
1.079317182302474976e-01,2.988759994506835938e+00,4.932172968983650208e-02
2.098028957843780518e-01,4.758725166320800781e+00,4.766368865966796875e-02
2.309153378009796143e-01,3.179259538650512695e+00,4.935329779982566833e-02
2.957474887371063232e-01,1.308369636535644531e+00,5.269861966371536255e-02
2.546209394931793213e-01,4.424264907836914062e+00,5.085100978612899780e-02
2.494839131832122803e-01,2.898253440856933594e+00,5.249140411615371704e-02
2.418112456798553467e-01,1.640079379081726074e+00,4.824652150273323059e-02
2.632034420967102051e-01,1.339257508516311646e-01,5.153734982013702393e-02
2.079109549522399902e-01,2.850945711135864258e+00,4.614372178912162781e-02
1.082014292478561401e-01,4.839761257171630859e+00,5.132889002561569214e-02
2.711585462093353271e-01,2.525992691516876221e-01,5.208789184689521790e-02
2.106803953647613525e-01,3.418439626693725586e+00,4.738277569413185120e-02
1.322510987520217896e-01,3.309573233127593994e-01,4.144202172756195068e-02
2.550213336944580078e-01,1.866802871227264404e-01,5.004274100065231323e-02
2.538395822048187256e-01,1.747106611728668213e-01,5.043999478220939636e-02
