omega,lambda_p,pi_bar
3.517798483371734619e-01,3.482225835323333740e-01,7.626980543136596680e-03
2.212862670421600342e-01,3.771292209625244141e+00,4.436998642631806433e-05
2.609394192695617676e-01,3.875879049301147461e+00,9.869378991425037384e-04
5.773718357086181641e-01,4.089874029159545898e-01,1.465212553739547729e-02
2.369760274887084961e-01,3.485593557357788086e+00,1.026446116156876087e-03
2.190377265214920044e-01,3.948401451110839844e+00,5.281409830786287785e-04
3.303652405738830566e-01,4.725430965423583984e+00,6.811381317675113678e-03
3.191919624805450439e-01,1.425702810287475586e+00,7.880047895014286041e-03
3.429168760776519775e-01,3.103097438812255859e+00,2.824223833158612251e-03
3.391437530517578125e-01,4.401810169219970703e+00,4.489863757044076920e-03
5.217747688293457031e-01,2.327110528945922852e+00,3.274525515735149384e-03
2.017836719751358032e-01,3.285186052322387695e+00,5.908679962158203125e-02
1.594284176826477051e-01,2.357192277908325195e+00,1.918963505886495113e-03
2.890357375144958496e-01,3.238753557205200195e+00,4.228198667988181114e-04
3.000286519527435303e-01,7.508383393287658691e-01,5.300191696733236313e-03
1.877161264419555664e-01,2.611186265945434570e+00,1.539490069262683392e-03
9.176184982061386108e-02,4.182633399963378906e+00,1.540564815513789654e-03
4.123019278049468994e-01,3.401057720184326172e+00,3.633308038115501404e-02
3.502273261547088623e-01,2.445230484008789062e+00,2.341701462864875793e-02
2.583915293216705322e-01,3.288324832916259766e+00,5.815641023218631744e-03
4.100073873996734619e-01,4.378067970275878906e+00,2.792392158880829811e-03
3.336985111236572266e-01,3.063169419765472412e-01,6.825761869549751282e-03
1.194172054529190063e-01,1.129422068595886230e+00,1.430842443369328976e-03
2.291535586118698120e-01,4.028880596160888672e+00,7.730203215032815933e-04
2.364175468683242798e-01,4.977525711059570312e+00,9.947321377694606781e-03
5.262619256973266602e-01,3.784791231155395508e+00,3.042798489332199097e-03
3.501737415790557861e-01,4.723065853118896484e+00,3.025654237717390060e-03
3.999332487583160400e-01,4.105195522308349609e+00,1.858524163253605366e-03
2.306551784276962280e-01,4.007697582244873047e+00,4.355167504400014877e-03
2.266453206539154053e-01,4.007680892944335938e+00,8.933464065194129944e-03
4.769311249256134033e-01,2.863182783126831055e+00,8.238948881626129150e-03
1.806219220161437988e-01,1.962442040443420410e+00,5.666323751211166382e-02
2.150198817253112793e-01,3.378178834915161133e+00,1.414466067217290401e-03
2.395019978284835815e-01,2.248188257217407227e+00,8.136749267578125000e-03
2.432620078325271606e-01,3.504861116409301758e+00,1.053723157383501530e-03
4.528424441814422607e-01,1.926606059074401855e+00,1.346411556005477905e-02
3.581094741821289062e-01,6.322639994323253632e-03,4.420571029186248779e-03
2.012134641408920288e-01,6.213268637657165527e-01,7.203290704637765884e-03
2.482348084449768066e-01,3.064099550247192383e+00,2.529140328988432884e-04
2.107806205749511719e-01,2.224931716918945312e+00,6.700840312987565994e-03
1.009975373744964600e-01,3.072130680084228516e+00,4.911302123218774796e-03
5.708118677139282227e-01,6.637650132179260254e-01,5.423527210950851440e-03
2.950861752033233643e-01,2.143500566482543945e+00,6.412409711629152298e-04
1.683002263307571411e-01,3.124728202819824219e+00,7.022689096629619598e-03
2.588556408882141113e-01,1.310319066047668457e+00,1.589898951351642609e-03
1.379323601722717285e-01,2.003707587718963623e-01,1.549060107208788395e-03
7.141878008842468262e-01,1.608247756958007812e+00,4.381676670163869858e-03
3.152810931205749512e-01,2.300742387771606445e+00,6.059803999960422516e-04
2.019970118999481201e-01,2.048779726028442383e+00,1.156076104962266982e-04
3.015103340148925781e-01,2.704324960708618164e+00,4.357675206847488880e-04
9.243981838226318359e-01,2.830235958099365234e+00,4.549433477222919464e-03
2.156177610158920288e-01,1.797298192977905273e+00,1.091593760065734386e-03
2.066640257835388184e-01,3.747322559356689453e+00,7.673704531043767929e-03
2.300236821174621582e-01,4.047278881072998047e+00,2.888655057176947594e-03
1.677364259958267212e-01,2.813603878021240234e+00,2.306471578776836395e-03
3.152410387992858887e-01,2.802535772323608398e+00,1.879967050626873970e-03
1.202780604362487793e-01,9.683649241924285889e-02,2.610715571790933609e-03
2.866231091320514679e-02,1.295524597167968750e+00,4.543906077742576599e-03
2.487222403287887573e-01,3.224147319793701172e+00,6.578221451491117477e-03
2.565262317657470703e-01,2.895095348358154297e+00,3.413264872506260872e-03
7.001884281635284424e-02,8.476914465427398682e-02,2.396792918443679810e-02
1.907259076833724976e-01,4.238089561462402344e+00,1.094152612495236099e-04
3.222635388374328613e-01,1.900735616683959961e+00,3.090699668973684311e-03
1.804360002279281616e-01,6.057780385017395020e-01,4.724354483187198639e-03
6.009367108345031738e-01,4.071962833404541016e+00,4.311943799257278442e-02
3.387375771999359131e-01,2.855311393737792969e+00,1.104183145798742771e-03
8.369279503822326660e-01,1.693034887313842773e+00,6.505295168608427048e-03
2.373833656311035156e-01,1.001628398895263672e+00,2.092861104756593704e-03
9.497472643852233887e-01,7.514644414186477661e-03,7.780305109918117523e-03
1.843311041593551636e-01,8.825560808181762695e-01,2.427248051390051842e-03
2.639788389205932617e-01,1.659589052200317383e+00,1.241950201801955700e-03
2.983109652996063232e-01,5.400523543357849121e-01,4.350766073912382126e-03
8.291440457105636597e-02,3.847606182098388672e+00,4.512586072087287903e-02
3.317700326442718506e-01,3.316628694534301758e+00,1.989842858165502548e-03
2.285582423210144043e-01,3.166052103042602539e+00,2.105911116814240813e-04
5.835951566696166992e-01,8.920693397521972656e-01,6.030275020748376846e-03
1.942116469144821167e-01,3.812314033508300781e+00,9.553108830004930496e-04
3.729312121868133545e-01,4.116137981414794922e+00,4.112693481147289276e-03
4.163267910480499268e-01,3.994533538818359375e+00,3.838745877146720886e-03
7.846154272556304932e-03,1.003007411956787109e+00,4.030734300613403320e-02
5.391290783882141113e-01,1.580170035362243652e+00,1.092228386551141739e-02
3.841719627380371094e-01,1.642896413803100586e+00,5.839284509420394897e-03
2.246853709220886230e-01,1.890566825866699219e+00,1.751104719005525112e-03
3.912775218486785889e-01,2.657508850097656250e+00,1.925769960507750511e-03
5.941228196024894714e-02,1.682373881340026855e+00,3.465157642494887114e-04
2.678693532943725586e-01,1.378077387809753418e+00,2.545056166127324104e-03
3.199051618576049805e-01,3.585577011108398438e+00,2.527297940105199814e-03
4.493906795978546143e-01,1.851469874382019043e+00,4.924249835312366486e-03
1.333769410848617554e-01,2.013942956924438477e+00,1.155451778322458267e-02
3.754929602146148682e-01,6.196108460426330566e-02,7.189984899014234543e-03
4.053352475166320801e-01,1.747377753257751465e+00,3.812185255810618401e-03
3.565169274806976318e-01,4.087154388427734375e+00,4.040074069052934647e-03
3.535149693489074707e-01,3.922164201736450195e+00,4.019091837108135223e-03
1.937247216701507568e-01,4.611351490020751953e+00,8.047957904636859894e-03
9.453420042991638184e-01,1.092320322990417480e+00,6.890602409839630127e-03
2.390451580286026001e-01,3.619022607803344727e+00,1.737747690640389919e-03
3.666115105152130127e-01,2.793321847915649414e+00,3.497910802252590656e-04
1.769996285438537598e-01,2.186389565467834473e-01,2.415119204670190811e-03
2.752689123153686523e-01,2.910395622253417969e+00,8.893905207514762878e-03
2.949292361736297607e-01,1.771642446517944336e+00,1.348955091089010239e-02
3.584645986557006836e-01,3.779317378997802734e+00,1.892812317237257957e-03
5.014267191290855408e-02,2.108355998992919922e+00,5.750391166657209396e-03
9.318498373031616211e-01,1.014954805374145508e+00,8.473080582916736603e-03
2.506109774112701416e-01,3.544246435165405273e+00,6.515734829008579254e-03
3.095674216747283936e-01,1.788912177085876465e+00,9.691285085864365101e-04
1.576361060142517090e-01,1.831516861915588379e+00,2.713222056627273560e-03
1.603308916091918945e-01,1.520547717809677124e-01,2.275407547131180763e-03
5.118439197540283203e-01,1.943707704544067383e+00,1.974663883447647095e-02
2.563118934631347656e-01,4.947474598884582520e-01,6.615324411541223526e-03
1.156562715768814087e-01,1.577638864517211914e+00,5.472298362292349339e-04
2.029825448989868164e-01,4.670148849487304688e+00,1.922187628224492073e-03
7.387185692787170410e-01,1.403653979301452637e+00,4.652349278330802917e-03
7.289463877677917480e-01,3.663398981094360352e+00,3.026421880349516869e-03
4.731066897511482239e-02,6.503972411155700684e-01,2.472795080393552780e-03
7.074575424194335938e-01,4.880075454711914062e+00,8.356398902833461761e-03
1.608757525682449341e-01,9.513276219367980957e-01,1.847828272730112076e-03
3.117966949939727783e-01,7.051569819450378418e-01,2.837621793150901794e-02
6.977980583906173706e-02,1.381451249122619629e+00,6.764503661543130875e-03
1.997689604759216309e-01,3.894779205322265625e+00,6.324897985905408859e-04
1.358176618814468384e-01,2.397976398468017578e+00,3.443458816036581993e-03
5.925254225730895996e-01,1.273763298988342285e+00,4.137206822633743286e-03
1.262015998363494873e-01,3.913066983222961426e-01,4.558133427053689957e-03
3.298749029636383057e-01,8.878929615020751953e-01,5.350892245769500732e-02
1.584287881851196289e-01,3.031659364700317383e+00,6.649203132838010788e-03
3.355657756328582764e-01,4.020421028137207031e+00,9.823217988014221191e-03
2.941927015781402588e-01,2.454833269119262695e+00,1.556736533530056477e-03
1.264245957136154175e-01,1.230679750442504883e+00,5.399576388299465179e-03
4.574450552463531494e-01,4.659761428833007812e+00,7.199299056082963943e-03
5.386460945010185242e-02,6.636137962341308594e-01,4.209519363939762115e-03
2.385002970695495605e-01,1.572906494140625000e+00,4.449025262147188187e-03
1.843724250793457031e-01,4.463496208190917969e+00,5.248247645795345306e-03
3.216128796339035034e-02,7.013274431228637695e-01,6.717932992614805698e-04
2.203335762023925781e-01,2.615995168685913086e+00,8.197188377380371094e-03
2.161574810743331909e-01,3.875532388687133789e+00,4.832899663597345352e-03
3.672225475311279297e-01,1.706840515136718750e+00,2.998326206579804420e-03
6.870304942131042480e-01,3.777128696441650391e+00,5.533965770155191422e-03
2.806995511054992676e-01,2.946188211441040039e+00,9.412373765371739864e-04
2.187338285148143768e-02,1.046629786491394043e+00,5.587803665548563004e-03
1.642084717750549316e-01,3.383323907852172852e+00,2.458342909812927246e-02
2.147436439990997314e-01,3.044183254241943359e+00,7.863211445510387421e-03
1.668509840965270996e-01,6.058813333511352539e-01,8.959410712122917175e-03
2.077118456363677979e-01,4.026803970336914062e+00,3.050219034776091576e-03
1.699947267770767212e-01,2.357913970947265625e+00,5.736369057558476925e-04
3.768389225006103516e-01,1.979024052619934082e+00,1.386508345603942871e-02
2.243378162384033203e-01,7.289879918098449707e-01,4.956490825861692429e-03
1.929507106542587280e-01,1.325799971818923950e-01,3.084865398705005646e-03
1.102374494075775146e-01,3.146903038024902344e+00,2.457902766764163971e-03
1.680312603712081909e-01,2.411907911300659180e+00,3.538595978170633316e-03
2.759334146976470947e-01,4.660912036895751953e+00,1.756677776575088501e-02
3.912896215915679932e-01,4.077775776386260986e-01,4.035007674247026443e-03
3.422741889953613281e-01,2.180209398269653320e+00,1.384067232720553875e-03
3.603186905384063721e-01,3.834990262985229492e+00,9.825265035033226013e-03
3.378074169158935547e-01,2.874948978424072266e+00,7.833580020815134048e-04
2.830649018287658691e-01,2.914706707000732422e+00,7.509300112724304199e-02
6.314374208450317383e-01,2.679488658905029297e+00,2.820027293637394905e-03
1.024634167551994324e-01,3.103415668010711670e-01,1.436113659292459488e-02
2.103223502635955811e-01,5.025205612182617188e-01,1.046302635222673416e-02
1.646100580692291260e-01,6.373703479766845703e-01,7.057370990514755249e-02
1.440323591232299805e-01,4.043556690216064453e+00,2.734255511313676834e-03
2.732116878032684326e-01,1.523395538330078125e+00,1.606377772986888885e-03
2.031807750463485718e-01,3.065217018127441406e+00,3.116646257694810629e-05
1.830463856458663940e-01,1.432974170893430710e-02,2.656416269019246101e-03
1.993266046047210693e-01,2.895878791809082031e+00,7.957938942126929760e-04
1.537677198648452759e-01,3.265962600708007812e+00,4.454500973224639893e-03
2.499787658452987671e-01,1.146924376487731934e+00,3.380153561010956764e-03
1.265812367200851440e-01,8.967094123363494873e-02,4.176658764481544495e-02
3.448713719844818115e-01,2.198356151580810547e+00,7.383380550891160965e-03
3.494415581226348877e-01,1.823810338973999023e+00,2.110363449901342392e-03
1.350513547658920288e-01,3.866760969161987305e+00,2.015072852373123169e-03
2.491698414087295532e-01,3.038530588150024414e+00,8.962378837168216705e-03
2.713964879512786865e-01,4.335090637207031250e+00,5.285729467868804932e-02
3.609047234058380127e-01,1.985335588455200195e+00,2.137282164767384529e-03
2.647489905357360840e-01,4.556823074817657471e-01,9.470356628298759460e-03
7.694920152425765991e-02,2.000620841979980469e+00,5.571376066654920578e-03
6.041444540023803711e-01,1.616904258728027344e+00,9.390879422426223755e-03
1.241943612694740295e-01,9.579520821571350098e-01,7.892074994742870331e-03
3.794165253639221191e-01,3.197496414184570312e+00,6.026948802173137665e-03
4.998447895050048828e-01,4.084967613220214844e+00,1.010397169739007950e-02
3.164536952972412109e-01,4.122596740722656250e+00,4.051998257637023926e-02
2.227661758661270142e-01,2.404491186141967773e+00,1.613081898540258408e-03
2.919873595237731934e-01,6.095649003982543945e-01,1.045253500342369080e-02
8.231391757726669312e-02,7.032369971275329590e-01,1.092458702623844147e-02
2.412982881069183350e-01,4.058327674865722656e+00,3.579178825020790100e-03
1.887004375457763672e-01,2.051146179437637329e-01,6.152996327728033066e-03
2.142524421215057373e-01,9.395746141672134399e-02,3.394892439246177673e-03
2.592507004737854004e-01,3.232749938964843750e+00,3.271813038736581802e-03
3.824637532234191895e-01,1.783568739891052246e+00,1.657605404034256935e-03
2.046020179986953735e-01,1.966949820518493652e+00,5.458992673084139824e-04
1.576308906078338623e-01,1.851060152053833008e+00,8.387820707866922021e-05
1.648465096950531006e-01,3.020676374435424805e+00,3.116697305813431740e-03
4.588326215744018555e-01,2.167009830474853516e+00,2.569518517702817917e-03
3.595406413078308105e-01,3.677711486816406250e+00,3.211926296353340149e-02
2.121355533599853516e-01,3.992852687835693359e+00,1.247579581104218960e-03
1.458191275596618652e-01,1.948598265647888184e+00,5.587956984527409077e-04
2.113416790962219238e-01,3.258482933044433594e+00,9.885756298899650574e-04
3.001115024089813232e-01,2.125751256942749023e+00,2.196954097598791122e-03
5.943219363689422607e-02,2.869906723499298096e-01,1.290823682211339474e-03
4.015890359878540039e-01,2.998315095901489258e+00,5.477313417941331863e-03
3.500504493713378906e-01,4.685554027557373047e+00,4.541091620922088623e-03
1.870563775300979614e-01,1.703817963600158691e+00,1.018411479890346527e-02
3.394941985607147217e-01,3.942671775817871094e+00,2.022288739681243896e-03
3.590772747993469238e-01,1.279024720191955566e+00,4.576966166496276855e-03
3.394947946071624756e-01,1.940024018287658691e+00,5.085404263809323311e-04
3.309540748596191406e-01,2.336404085159301758e+00,1.042106188833713531e-03
2.257763147354125977e-01,4.815451622009277344e+00,5.913848523050546646e-03
1.514604240655899048e-01,2.357130289077758789e+00,4.152457404416054487e-04
2.020794004201889038e-01,1.247469544410705566e+00,2.332111122086644173e-03
1.923955529928207397e-01,4.621826171875000000e+00,7.346375286579132080e-02
8.613719940185546875e-01,1.211287975311279297e+00,1.194407232105731964e-02
2.275457829236984253e-01,4.029994010925292969e+00,2.714399248361587524e-03
1.554293036460876465e-01,2.957456350326538086e+00,8.232500404119491577e-03
3.355356454849243164e-01,4.498642921447753906e+00,1.094367541372776031e-02
5.856549739837646484e-02,1.933718681335449219e+00,1.470811257604509592e-04
5.085904598236083984e-01,4.222587585449218750e+00,8.219859562814235687e-03
1.833599358797073364e-01,2.955124855041503906e+00,2.410769229754805565e-03
2.568768560886383057e-01,4.193528652191162109e+00,1.352388993836939335e-03
2.601816058158874512e-01,3.040759563446044922e-01,6.849712692201137543e-03
2.218601107597351074e-01,2.906918525695800781e+00,6.048237904906272888e-03
1.490214020013809204e-01,1.630165100097656250e+00,5.588980857282876968e-04
3.843743726611137390e-02,2.140054464340209961e+00,2.763272728770971298e-03
4.673843681812286377e-01,3.932929515838623047e+00,3.433904424309730530e-02
3.511136770248413086e-01,1.673624157905578613e+00,2.753907348960638046e-03
2.275682687759399414e-01,4.031647682189941406e+00,3.212653100490570068e-03
3.835282921791076660e-01,2.618574619293212891e+00,3.499650582671165466e-02
3.416264653205871582e-01,8.630458712577819824e-01,7.762291003018617630e-03
2.544080615043640137e-01,3.742020130157470703e+00,1.058840862242504954e-04
3.856568336486816406e-01,2.269200801849365234e+00,4.921128042042255402e-03
4.865694344043731689e-01,6.289821267127990723e-01,6.250129081308841705e-03
1.476369500160217285e-01,7.514830827713012695e-01,4.042724892497062683e-02
2.008474469184875488e-01,4.078246593475341797e+00,7.356615387834608555e-04
1.507185697555541992e-01,2.290484905242919922e+00,5.672039929777383804e-03
3.664649128913879395e-01,3.875874876976013184e-01,4.592728335410356522e-03
2.934603095054626465e-01,3.748279809951782227e+00,1.074603199958801270e-02
1.462482362985610962e-01,6.522082686424255371e-01,4.732747562229633331e-03
1.317657250910997391e-02,1.064181566238403320e+00,1.701617147773504257e-04
3.917746543884277344e-01,1.798060059547424316e+00,3.982091322541236877e-03
4.438731074333190918e-01,1.292645335197448730e+00,6.647923961281776428e-03
3.436742722988128662e-01,1.807137012481689453e+00,6.199617870151996613e-03
1.832923740148544312e-01,1.642788499593734741e-01,2.732566790655255318e-03
2.266655564308166504e-01,4.316290855407714844e+00,3.075960790738463402e-03
1.907529383897781372e-01,4.112543106079101562e+00,5.145792383700609207e-03
2.034446001052856445e-01,2.909253120422363281e+00,3.937465138733386993e-03
2.329944521188735962e-01,4.911279380321502686e-01,2.617215039208531380e-03
3.189880549907684326e-01,1.944490909576416016e+00,1.815587049350142479e-03
1.811502575874328613e-01,3.860606253147125244e-01,2.465221099555492401e-03
1.022009402513504028e-01,1.854143977165222168e+00,5.559758748859167099e-03
3.066260516643524170e-01,3.380242109298706055e+00,4.847945645451545715e-03
8.441320657730102539e-01,3.790417194366455078e+00,9.637089446187019348e-03
1.426116377115249634e-01,8.235884308815002441e-01,1.024092081934213638e-03
1.741199493408203125e-01,1.729256272315979004e+00,5.328789353370666504e-02
7.191441208124160767e-02,6.000081300735473633e-01,8.151385700330138206e-04
2.985355854034423828e-01,3.352252483367919922e+00,8.169143460690975189e-03
2.004236876964569092e-01,3.159582853317260742e+00,1.064419047906994820e-03
9.364290535449981689e-02,8.447637557983398438e-01,1.754175289534032345e-03
