omega,lambda_p,pi_bar
1.849412769079208374e-01,7.272865176200866699e-01,1.612748950719833374e-02
9.504995495080947876e-02,2.764985084533691406e+00,6.182706728577613831e-02
2.005347907543182373e-01,3.796547651290893555e+00,5.907186120748519897e-02
2.165904492139816284e-01,2.726370334625244141e+00,2.602940425276756287e-02
1.795859932899475098e-01,1.730824708938598633e+00,1.987537741661071777e-02
2.027472481131553650e-03,2.042186975479125977e+00,1.938577927649021149e-02
2.487641274929046631e-01,2.039940834045410156e+00,1.951251365244388580e-02
2.775846719741821289e-01,7.787665724754333496e-01,1.929689757525920868e-02
2.344717085361480713e-01,2.858612060546875000e+00,5.058319494128227234e-02
1.574820727109909058e-01,4.551345825195312500e+00,1.790960133075714111e-02
7.725836336612701416e-02,4.439127147197723389e-01,6.722197402268648148e-03
2.131614536046981812e-01,9.411271214485168457e-01,1.527692470699548721e-02
2.681720554828643799e-01,8.687505125999450684e-01,1.099522691220045090e-02
8.427084982395172119e-02,2.813566446304321289e+00,1.957400888204574585e-02
1.404998302459716797e-01,2.591162204742431641e+00,5.864981189370155334e-02
1.353108286857604980e-01,4.431653499603271484e+00,8.999857120215892792e-03
9.976280480623245239e-02,2.426693439483642578e+00,3.876791894435882568e-02
1.477203965187072754e-01,2.544476509094238281e+00,9.273865073919296265e-02
7.750924676656723022e-02,1.926087737083435059e-01,1.382520981132984161e-02
2.472040355205535889e-01,1.577473044395446777e+00,3.888259828090667725e-02
2.930572032928466797e-01,3.191197395324707031e+00,3.583823144435882568e-02
2.047963738441467285e-01,2.516584634780883789e+00,9.253683499991893768e-03
1.024630740284919739e-01,4.698372840881347656e+00,1.792842522263526917e-02
3.600536882877349854e-01,2.311405986547470093e-01,1.587899774312973022e-02
2.925896942615509033e-01,3.006652832031250000e+00,1.787493005394935608e-02
5.302655324339866638e-02,2.659621238708496094e+00,1.860727556049823761e-02
1.564601212739944458e-01,2.137873888015747070e+00,3.979065641760826111e-02
1.824598014354705811e-01,2.876927137374877930e+00,4.520864784717559814e-02
1.861022710800170898e-01,2.069923162460327148e+00,3.578473627567291260e-02
2.219700217247009277e-01,3.164705991744995117e+00,5.955930426716804504e-02
1.243982836604118347e-01,1.820625066757202148e+00,4.390151426196098328e-02
2.627010345458984375e-01,2.665841579437255859e+00,2.434771321713924408e-02
9.552899748086929321e-02,2.527422904968261719e+00,5.848091561347246170e-03
8.569820225238800049e-02,3.812102556228637695e+00,1.553895603865385056e-02
2.405480146408081055e-01,4.375990867614746094e+00,1.184076536446809769e-02
3.088070452213287354e-01,3.227232694625854492e+00,4.083760455250740051e-02
3.626031875610351562e-01,7.272412180900573730e-01,6.311485916376113892e-02
3.867592513561248779e-01,1.683775544166564941e+00,2.143664285540580750e-02
1.549193561077117920e-01,4.717446804046630859e+00,2.272777445614337921e-02
2.992250025272369385e-01,4.685017108917236328e+00,1.312297116965055466e-02
1.719343215227127075e-01,2.894447565078735352e+00,8.495252579450607300e-02
8.689028769731521606e-02,4.596857070922851562e+00,2.745726890861988068e-02
5.651916936039924622e-02,5.337340235710144043e-01,2.754020132124423981e-02
4.582493752241134644e-02,2.061882019042968750e+00,9.012986905872821808e-03
2.972472608089447021e-01,4.528687000274658203e+00,3.259573597460985184e-03
6.586925685405731201e-02,2.091081857681274414e+00,2.501030638813972473e-02
1.848237216472625732e-01,4.144413948059082031e+00,1.161976438015699387e-02
2.015188485383987427e-01,3.450979709625244141e+00,1.240344904363155365e-02
1.454226225614547729e-01,1.598785638809204102e+00,5.074972752481698990e-03
1.192212402820587158e-01,8.991866111755371094e-01,3.725963458418846130e-02
1.330489479005336761e-02,1.719775795936584473e+00,9.275890886783599854e-03
2.872733771800994873e-01,3.857840061187744141e+00,1.048619113862514496e-02
1.009629368782043457e-01,3.380440235137939453e+00,6.323097646236419678e-02
5.516186729073524475e-02,2.676870822906494141e+00,5.242418497800827026e-02
6.099525094032287598e-01,1.964607834815979004e-01,1.203822530806064606e-02
4.382931590080261230e-01,4.538767814636230469e+00,5.795716121792793274e-02
4.943025410175323486e-01,2.575113058090209961e+00,1.938911341130733490e-02
3.032587468624114990e-01,1.519618481397628784e-01,3.045352920889854431e-02
1.011031493544578552e-01,2.828062534332275391e+00,1.913236454129219055e-02
2.641393244266510010e-01,1.957512497901916504e-01,4.758934304118156433e-02
3.321520388126373291e-01,2.391742229461669922e+00,5.385389551520347595e-02
2.300055325031280518e-02,8.493694067001342773e-01,1.957687921822071075e-02
2.906335145235061646e-02,3.955026626586914062e+00,4.941623285412788391e-02
1.562384814023971558e-01,4.127407550811767578e+00,9.489578008651733398e-02
1.886692047119140625e-01,2.117876052856445312e+00,2.933221310377120972e-02
8.851826936006546021e-02,2.168862819671630859e+00,3.339285776019096375e-02
4.119160398840904236e-02,3.112659931182861328e+00,1.553192920982837677e-02
2.980061173439025879e-01,2.537301063537597656e+00,4.694972932338714600e-02
