omega,lambda_p,pi_bar
1.149755045771598816e-01,1.025768756866455078e+00,6.206205580383539200e-03
1.783113554120063782e-02,3.361671209335327148e+00,8.297679014503955841e-03
3.450066968798637390e-02,3.038803815841674805e+00,6.312202662229537964e-03
1.337813735008239746e-01,1.854679547250270844e-02,4.388316068798303604e-03
8.488477207720279694e-03,3.236124038696289062e+00,8.942045271396636963e-03
6.638309359550476074e-02,9.948938488960266113e-01,5.766069982200860977e-03
1.216015517711639404e-01,3.838977813720703125e+00,6.915888749063014984e-03
4.227606952190399170e-02,1.143018245697021484e+00,8.122484199702739716e-03
1.556349638849496841e-02,2.676019072532653809e-01,4.940194077789783478e-03
7.530850917100906372e-02,4.917196750640869141e+00,8.541192859411239624e-03
1.521947886794805527e-02,9.688756465911865234e-01,5.808251444250345230e-03
8.780482225120067596e-03,4.111845970153808594e+00,7.790777832269668579e-03
1.228001620620489120e-02,2.239867299795150757e-01,5.090701393783092499e-03
7.331687211990356445e-02,1.341402530670166016e+00,5.505114328116178513e-03
1.069665327668190002e-02,4.389011859893798828e+00,7.877158932387828827e-03
2.010032534599304199e-02,1.487865112721920013e-02,4.518638830631971359e-03
5.643738806247711182e-02,1.212800741195678711e+00,5.669130012392997742e-03
3.199438378214836121e-02,3.750843286514282227e+00,7.242626510560512543e-03
5.075592547655105591e-02,3.951093912124633789e+00,9.764350019395351410e-03
1.432970315217971802e-01,2.926752865314483643e-01,6.354073528200387955e-03
7.760608196258544922e-02,2.953096292912960052e-02,8.892980404198169708e-03
9.690021164715290070e-03,6.764004230499267578e-01,5.598897114396095276e-03
1.706359721720218658e-02,1.141036033630371094e+00,1.251380238682031631e-02
1.625076532363891602e-01,3.620297908782958984e+00,9.518093429505825043e-03
1.550593040883541107e-02,1.499993801116943359e+00,5.682690534740686417e-03
1.532643660902976990e-02,3.278851032257080078e+00,7.413887884467840195e-03
7.629985921084880829e-03,3.854759693145751953e+00,8.316725492477416992e-03
1.420945227146148682e-01,4.788129329681396484e+00,9.840742684900760651e-03
1.380715221166610718e-01,1.513687729835510254e+00,6.009479984641075134e-03
1.934937946498394012e-02,4.663109302520751953e+00,1.167897228151559830e-02
7.306594401597976685e-03,4.174174785614013672e+00,8.008827455341815948e-03
1.286847423762083054e-02,3.573395609855651855e-01,5.695163737982511520e-03
9.306190162897109985e-02,3.140530109405517578e+00,8.808825165033340454e-03
1.586760766804218292e-02,3.275089338421821594e-02,5.913834087550640106e-03
1.080580800771713257e-01,3.033488273620605469e+00,6.277525797486305237e-03
1.102038938552141190e-02,2.398718893527984619e-02,7.810445036739110947e-03
1.007190998643636703e-02,3.160017251968383789e+00,6.522178184241056442e-03
1.988118141889572144e-01,2.359164357185363770e-01,5.839770659804344177e-03
7.891189306974411011e-02,3.880785703659057617e+00,6.858439184725284576e-03
1.511720865964889526e-01,3.513454675674438477e+00,6.416181102395057678e-03
5.743115395307540894e-02,5.847737789154052734e-01,6.879659369587898254e-03
2.674834057688713074e-02,3.835108280181884766e+00,7.694355677813291550e-03
1.375942211598157883e-02,4.677304744720458984e+00,7.818466983735561371e-03
1.713646799325942993e-01,2.983954429626464844e+00,6.759222131222486496e-03
2.131583727896213531e-02,3.321964979171752930e+00,8.726480416953563690e-03
1.814876683056354523e-02,2.818961739540100098e-01,5.449838470667600632e-03
1.462315674871206284e-02,3.174881935119628906e+00,7.324504666030406952e-03
5.792448297142982483e-02,9.958004355430603027e-01,5.860162898898124695e-03
2.758199907839298248e-02,3.928997278213500977e+00,7.599900476634502411e-03
2.247537113726139069e-02,1.224116325378417969e+00,5.416869651526212692e-03
1.852244734764099121e-01,4.079930782318115234e-01,4.717434756457805634e-03
1.598470658063888550e-02,3.770850658416748047e+00,7.743006572127342224e-03
7.378995418548583984e-02,1.111468207091093063e-02,8.072953671216964722e-03
1.478357613086700439e-02,1.879446357488632202e-01,6.285858806222677231e-03
8.917853981256484985e-02,8.536904454231262207e-01,5.671718157827854156e-03
6.342976540327072144e-02,1.488161921501159668e+00,5.323190707713365555e-03
4.511109367012977600e-02,3.478692770004272461e+00,7.018780335783958435e-03
1.917102374136447906e-02,3.534103393554687500e+00,7.630074396729469299e-03
6.809379905462265015e-02,3.566649913787841797e+00,3.411699831485748291e-02
2.803462848532944918e-04,2.908852100372314453e+00,6.460018921643495560e-03
2.272795140743255615e-02,3.831465721130371094e+00,7.220785133540630341e-03
1.184659730643033981e-02,3.627296388149261475e-01,4.866648465394973755e-03
1.213903948664665222e-01,2.796026706695556641e+00,5.944939795881509781e-03
1.483596861362457275e-02,4.543209075927734375e-01,4.686587955802679062e-03
6.923653185367584229e-02,4.058167934417724609e+00,7.571848575025796890e-03
5.538370832800865173e-02,4.646506786346435547e+00,8.680469356477260590e-03
5.256496369838714600e-02,1.143334388732910156e+00,6.106471177190542221e-03
5.110801383852958679e-02,1.598491668701171875e-01,4.571119789034128189e-03
1.336487475782632828e-02,1.720523357391357422e+00,8.559824898838996887e-03
1.101062819361686707e-02,4.741038322448730469e+00,8.310514502227306366e-03
1.226618513464927673e-02,3.504573106765747070e+00,7.578318007290363312e-03
3.112450987100601196e-02,4.394336789846420288e-02,5.552833899855613708e-03
1.854081004858016968e-01,3.708453416824340820e+00,6.834527477622032166e-03
1.002182811498641968e-02,3.928460597991943359e+00,7.447788491845130920e-03
1.385737769305706024e-02,3.106280326843261719e+00,1.043780334293842316e-02
6.281333416700363159e-02,4.032106399536132812e+00,9.878421202301979065e-03
1.842266321182250977e-02,9.866869449615478516e-01,7.513932883739471436e-03
8.516601473093032837e-02,1.092740654945373535e+00,5.151411518454551697e-03
1.656043715775012970e-02,7.829515933990478516e-01,9.071798995137214661e-03
1.483987271785736084e-01,3.675919055938720703e+00,1.127589400857686996e-02
2.821777947247028351e-02,2.526998519897460938e+00,6.843636743724346161e-03
1.053009368479251862e-02,1.190098166465759277e+00,6.433881819248199463e-03
1.126576121896505356e-02,1.337481737136840820e+00,6.127484142780303955e-03
1.112844422459602356e-01,3.001701593399047852e+00,1.460734568536281586e-02
6.181156262755393982e-02,1.285400629043579102e+00,9.515660814940929413e-03
1.149472966790199280e-01,3.078922510147094727e+00,6.433933507651090622e-03
3.724980726838111877e-02,1.127164252102375031e-02,6.800368428230285645e-03
2.421429008245468140e-02,1.386184096336364746e-01,5.265689454972743988e-03
1.160219088196754456e-01,3.122128009796142578e+00,8.435040712356567383e-03
1.509268861263990402e-02,3.211899042129516602e+00,6.951704155653715134e-03
7.900225929915904999e-03,4.319488048553466797e+00,7.671220693737268448e-03
1.231126580387353897e-02,1.635763794183731079e-01,5.274125840514898300e-03
1.866813935339450836e-02,1.455411314964294434e+00,9.059584699571132660e-03
9.826227091252803802e-03,1.581348180770874023e+00,5.702357739210128784e-03
1.535318195819854736e-01,3.195216417312622070e+00,9.167755022644996643e-03
5.904635041952133179e-02,9.849627614021301270e-01,5.302850622683763504e-03
8.900374174118041992e-03,4.170138835906982422e+00,7.978342473506927490e-03
1.269832812249660492e-02,3.700185120105743408e-01,7.316379342228174210e-03
5.321191996335983276e-02,4.992315769195556641e+00,1.305807195603847504e-02
9.619382210075855255e-03,6.599894165992736816e-02,7.169287651777267456e-03
8.322359621524810791e-02,2.997251033782958984e+00,6.781218573451042175e-03
4.869161173701286316e-02,2.246541261672973633e+00,7.394634652882814407e-03
1.727364957332611084e-02,1.316867947578430176e+00,6.405571009963750839e-03
4.413753747940063477e-02,3.881708860397338867e+00,8.240281604230403900e-03
2.054440230131149292e-02,4.925034999847412109e+00,8.805564604699611664e-03
1.715966314077377319e-01,3.797115802764892578e+00,1.268822140991687775e-02
1.633080691099166870e-01,3.890237092971801758e+00,6.526887882500886917e-03
8.382037281990051270e-03,3.832619190216064453e+00,1.252172049134969711e-02
9.114010632038116455e-02,2.249730825424194336e+00,5.555938929319381714e-03
3.523802384734153748e-02,3.688703775405883789e+00,6.894357968121767044e-03
2.343480437994003296e-01,3.328247070312500000e+00,6.471715867519378662e-03
5.957941710948944092e-02,3.202995061874389648e+00,8.690509945154190063e-03
1.646782644093036652e-02,1.498509287834167480e+00,5.409831181168556213e-03
2.328702248632907867e-02,1.442434042692184448e-01,7.305562030524015427e-03
3.819580376148223877e-02,4.652554035186767578e+00,1.049168221652507782e-02
5.268409848213195801e-02,3.754801750183105469e+00,9.519025683403015137e-03
5.700225010514259338e-03,3.636537790298461914e+00,8.030926808714866638e-03
8.943143300712108612e-03,4.318450927734375000e+00,1.125555392354726791e-02
1.281663775444030762e-01,7.292857170104980469e-01,5.308440420776605606e-03
1.570275276899337769e-01,2.125103771686553955e-01,4.918559920042753220e-03
3.218805417418479919e-02,4.844902992248535156e+00,1.151614729315042496e-02
1.781571656465530396e-02,4.543104171752929688e+00,8.063171058893203735e-03
1.477909274399280548e-02,1.510476112365722656e+00,7.044606842100620270e-03
1.500714272260665894e-01,1.237837195396423340e+00,5.833611823618412018e-03
1.064605358988046646e-02,9.663572311401367188e-01,8.842828683555126190e-03
5.746440216898918152e-02,3.583225250244140625e+00,8.658886887133121490e-03
6.791971623897552490e-02,1.376094698905944824e+00,9.037122130393981934e-03
5.497074127197265625e-02,3.254616260528564453e+00,9.722220711410045624e-03
4.379548504948616028e-02,9.678028225898742676e-01,6.225976627320051193e-03
1.590613462030887604e-02,1.267448067665100098e+00,5.447458010166883469e-03
1.365853473544120789e-02,1.151913881301879883e+00,5.308284889906644821e-03
1.076885014772415161e-01,3.268171548843383789e+00,1.073017530143260956e-02
1.002614647150039673e-01,3.044864892959594727e+00,6.220594048500061035e-03
1.304824370890855789e-02,3.726472616195678711e+00,9.751514531672000885e-03
1.674596518278121948e-01,4.190544605255126953e+00,7.033944595605134964e-03
3.897496312856674194e-02,1.137879490852355957e+00,6.514362990856170654e-03
2.652352675795555115e-02,3.648087978363037109e+00,8.097278885543346405e-03
5.808552354574203491e-02,3.858034849166870117e+00,1.112854387611150742e-02
1.044331304728984833e-02,3.835138320922851562e+00,1.215109415352344513e-02
1.598077453672885895e-02,3.151854276657104492e+00,6.345016416162252426e-03
1.611515134572982788e-02,1.119485259056091309e+00,8.707589469850063324e-03
1.940291002392768860e-02,2.433935403823852539e-01,5.672494415193796158e-03
1.421612314879894257e-02,2.046542406082153320e+00,5.943904630839824677e-03
9.559867531061172485e-02,2.976787805557250977e+00,1.078286301344633102e-02
1.816552281379699707e-01,4.935345172882080078e+00,7.649275939911603928e-03
1.544636394828557968e-02,2.493898272514343262e-01,6.325245369225740433e-03
1.090992689132690430e-01,2.911619186401367188e+00,5.994108039885759354e-03
1.045152246952056885e-01,9.303508400917053223e-01,7.155675906687974930e-03
4.578108713030815125e-02,3.855662345886230469e+00,9.516593068838119507e-03
8.411189168691635132e-02,3.817688703536987305e+00,8.255446329712867737e-03
4.368545953184366226e-03,4.175822734832763672e+00,7.431485224515199661e-03
9.056675434112548828e-02,3.668365478515625000e+00,8.113374933600425720e-03
1.480864435434341431e-01,1.215701177716255188e-01,6.270176731050014496e-03
6.690370384603738785e-03,3.987651586532592773e+00,7.603833917528390884e-03
1.158146187663078308e-02,3.699423074722290039e+00,1.051471382379531860e-02
2.023784257471561432e-02,3.514351844787597656e+00,7.348778657615184784e-03
6.933838874101638794e-02,3.027659177780151367e+00,9.013883769512176514e-03
5.508942529559135437e-02,1.077036466449499130e-02,4.756717942655086517e-03
1.837730593979358673e-02,3.445115327835083008e+00,6.783547811210155487e-03
1.070713810622692108e-02,4.018279075622558594e+00,8.920618332922458649e-03
1.677112728357315063e-01,3.661515235900878906e+00,7.367514539510011673e-03
6.995550822466611862e-03,3.854259729385375977e+00,1.280751917511224747e-02
9.150278568267822266e-02,8.108382225036621094e-01,7.533289957791566849e-03
9.615656919777393341e-03,1.421993970870971680e+00,6.302420981228351593e-03
1.955763809382915497e-02,3.756779670715332031e+00,1.011365372687578201e-02
1.363852992653846741e-02,3.501255035400390625e+00,7.203032728284597397e-03
1.443818956613540649e-01,2.751366138458251953e+00,6.318051367998123169e-03
1.576282270252704620e-02,2.896473705768585205e-01,6.816309411078691483e-03
9.042651392519474030e-03,1.737425923347473145e-01,5.065237171947956085e-03
2.403472736477851868e-02,1.643074303865432739e-01,5.250835325568914413e-03
1.285084895789623260e-02,3.722685575485229492e+00,7.491936441510915756e-03
7.432453334331512451e-03,2.463609695434570312e+00,8.208968676626682281e-03
7.010902464389801025e-02,3.543789625167846680e+00,1.415727287530899048e-02
4.783987998962402344e-02,8.004281669855117798e-02,7.495714817196130753e-03
9.480554610490798950e-03,3.999905109405517578e+00,8.548490703105926514e-03
1.174248829483985901e-01,3.808702230453491211e+00,1.141843106597661972e-02
1.614288426935672760e-02,3.836459875106811523e+00,1.120840385556221008e-02
5.030732974410057068e-02,3.709516286849975586e+00,8.239401504397392273e-03
8.068720251321792603e-02,4.072826504707336426e-01,8.600350469350814819e-03
1.632791608572006226e-01,1.172176480293273926e+00,4.522468429058790207e-03
