omega,lambda_p,pi_bar
8.286131620407104492e-01,3.036796569824218750e+00,1.408264875411987305e+00
1.674217134714126587e-01,1.532426476478576660e+00,8.460426330566406250e-01
6.497986316680908203e-01,3.106764793395996094e+00,1.085668325424194336e+00
8.147242069244384766e-01,3.927207708358764648e+00,1.144235134124755859e+00
2.856630980968475342e-01,1.055635929107666016e+00,1.397165298461914062e+00
4.299610555171966553e-01,4.547752857208251953e+00,4.001628458499908447e-01
5.199163556098937988e-01,4.185810089111328125e+00,5.593135952949523926e-01
5.805772542953491211e-01,1.482631087303161621e+00,4.537186920642852783e-01
3.937098085880279541e-01,2.750950455665588379e-01,4.084829688072204590e-01
5.626485943794250488e-01,3.682173252105712891e+00,1.414895296096801758e+00
4.765182435512542725e-01,4.656338691711425781e+00,7.114250659942626953e-01
4.207544922828674316e-01,2.409597158432006836e+00,4.464568793773651123e-01
4.484332501888275146e-01,3.775287628173828125e+00,8.775330185890197754e-01
8.970816135406494141e-01,1.906142354011535645e+00,1.133228540420532227e+00
3.989100754261016846e-01,4.804109096527099609e+00,4.059238731861114502e-01
9.573660492897033691e-01,7.256924510002136230e-01,1.245655775070190430e+00
6.903886049985885620e-02,1.172861337661743164e+00,4.499131143093109131e-01
5.048469305038452148e-01,1.451618790626525879e+00,5.965728163719177246e-01
5.635395050048828125e-01,2.517535924911499023e+00,7.058550119400024414e-01
1.813370138406753540e-01,8.692319393157958984e-01,5.994560718536376953e-01
5.272197723388671875e-01,4.039306163787841797e+00,1.078741908073425293e+00
4.724189341068267822e-01,3.456635475158691406e+00,6.599503755569458008e-01
9.662260413169860840e-01,1.611843466758728027e+00,6.937136650085449219e-01
8.525054156780242920e-02,3.031152486801147461e+00,3.998085558414459229e-01
3.843536674976348877e-01,3.990106821060180664e+00,1.402589678764343262e+00
5.147000551223754883e-01,4.955396652221679688e+00,1.350644230842590332e+00
8.349782824516296387e-01,4.908129572868347168e-01,8.759148716926574707e-01
8.656348586082458496e-01,3.543119907379150391e+00,6.938091516494750977e-01
4.585922360420227051e-01,3.289046525955200195e+00,6.648697257041931152e-01
7.422541975975036621e-01,1.492576241493225098e+00,1.111992359161376953e+00
9.943457245826721191e-01,4.822415828704833984e+00,5.341949462890625000e-01
2.481078952550888062e-01,1.994812726974487305e+00,1.399142980575561523e+00
1.250733435153961182e-01,4.601800918579101562e+00,8.830697536468505859e-01
7.497063875198364258e-01,4.461267471313476562e+00,6.139569282531738281e-01
7.543573975563049316e-01,3.864552021026611328e+00,7.813419401645660400e-02
8.972230553627014160e-01,3.361044168472290039e+00,1.213700294494628906e+00
4.944525659084320068e-01,3.551208257675170898e+00,1.396121740341186523e+00
1.305590122938156128e-01,3.921551227569580078e+00,2.352804243564605713e-01
4.125123023986816406e-01,3.728114604949951172e+00,1.149397850036621094e+00
9.564507752656936646e-02,1.216264843940734863e+00,5.836664438247680664e-01
9.148892164230346680e-01,7.521054148674011230e-01,4.509036242961883545e-01
7.040136456489562988e-01,4.651084899902343750e+00,1.214304417371749878e-01
8.853282928466796875e-01,1.272708535194396973e+00,4.051292836666107178e-01
2.171140015125274658e-01,4.828975200653076172e+00,3.703219294548034668e-01
5.738724470138549805e-01,4.624502182006835938e+00,1.306474924087524414e+00
9.590247273445129395e-02,1.061658978462219238e+00,6.183276772499084473e-01
2.297965884208679199e-01,4.325144767761230469e+00,3.760939836502075195e-01
7.548836469650268555e-01,1.205836057662963867e+00,1.088635087013244629e+00
3.099474310874938965e-02,3.826995849609375000e+00,8.531087040901184082e-01
3.250393569469451904e-01,1.657737970352172852e+00,1.222420454025268555e+00
1.464242935180664062e-01,3.083550214767456055e+00,9.748514890670776367e-01
