omega,lambda_p,pi_bar
9.471736103296279907e-02,3.261960029602050781e+00,1.117977895773947239e-03
9.110817313194274902e-02,3.270636796951293945e+00,3.131732810288667679e-03
7.517211139202117920e-02,1.626789569854736328e+00,5.260511301457881927e-03
1.036922931671142578e-01,3.966843128204345703e+00,4.706009291112422943e-03
3.531500697135925293e-02,4.917009353637695312e+00,1.120131695643067360e-03
2.496086061000823975e-02,3.250808477401733398e+00,2.288108458742499352e-03
1.443260759115219116e-01,3.976282119750976562e+00,5.775321740657091141e-03
1.074724365025758743e-02,1.682070016860961914e+00,7.935740286484360695e-04
9.350109845399856567e-02,3.402402639389038086e+00,2.937839366495609283e-03
6.812138110399246216e-02,3.163576126098632812e+00,4.708111810032278299e-04
4.540939256548881531e-02,5.557916760444641113e-01,1.791913295164704323e-03
1.094257459044456482e-01,3.281694173812866211e+00,3.173424396663904190e-03
4.830305278301239014e-02,4.069330215454101562e+00,3.299934614915400743e-04
9.055936336517333984e-02,4.900705337524414062e+00,5.639119073748588562e-03
6.225114688277244568e-02,1.737555146217346191e+00,3.954229410737752914e-03
1.024164706468582153e-01,3.430836439132690430e+00,1.815415360033512115e-02
9.220696240663528442e-02,3.421701669692993164e+00,3.690234618261456490e-03
6.480572372674942017e-02,1.309572905302047729e-01,2.424890547990798950e-02
6.186901777982711792e-02,1.642995119094848633e+00,4.068278241902589798e-03
2.031371556222438812e-02,5.234153866767883301e-01,4.375451710075139999e-03
8.215121179819107056e-02,4.951712131500244141e+00,1.238898606970906258e-03
2.387900054454803467e-01,5.111034512519836426e-01,3.872282337397336960e-03
8.481952548027038574e-02,2.075434684753417969e+00,4.027253482490777969e-03
8.807790279388427734e-02,3.533804893493652344e+00,1.496278098784387112e-03
1.065871268510818481e-01,3.032879352569580078e+00,2.584820613265037537e-03
8.463901281356811523e-02,1.320546865463256836e+00,1.452853251248598099e-02
8.913192898035049438e-02,1.374550223350524902e+00,2.495796652510762215e-03
4.753720760345458984e-02,3.405086755752563477e+00,1.107413973659276962e-02
1.532021611928939819e-01,4.703921318054199219e+00,2.857538312673568726e-02
2.088511586189270020e-01,3.457014560699462891e+00,7.094372529536485672e-03
7.856982201337814331e-02,4.853695929050445557e-01,1.235698629170656204e-02
1.053106486797332764e-01,3.960121631622314453e+00,5.281280260533094406e-03
8.037468791007995605e-02,4.976411342620849609e+00,7.356982678174972534e-03
8.001490682363510132e-02,3.857393741607666016e+00,4.236582666635513306e-03
7.325857132673263550e-02,7.619500160217285156e-01,2.691741683520376682e-04
6.791869550943374634e-02,1.617192387580871582e+00,1.074594096280634403e-03
3.561505675315856934e-02,3.476158857345581055e+00,3.413727274164557457e-03
4.079887270927429199e-02,1.618741393089294434e+00,1.986288838088512421e-02
8.332511782646179199e-02,4.904420852661132812e+00,8.646444417536258698e-03
7.072772085666656494e-02,3.524475812911987305e+00,3.439983120188117027e-03
1.484872698783874512e-01,5.040004849433898926e-01,1.903675124049186707e-02
1.578107103705406189e-02,3.325535774230957031e+00,3.778335405513644218e-03
8.023270219564437866e-02,4.983548223972320557e-01,1.039723050780594349e-03
6.334835290908813477e-02,5.521907806396484375e-01,1.621449925005435944e-02
1.227939575910568237e-01,1.645933985710144043e+00,2.286929078400135040e-02
8.607813715934753418e-02,6.031759977340698242e-01,4.858929663896560669e-03
1.609693467617034912e-01,1.625149250030517578e+00,1.731760567054152489e-04
8.155066519975662231e-02,4.844398498535156250e+00,3.427265444770455360e-03
6.352776288986206055e-02,4.690564155578613281e+00,1.373700983822345734e-02
1.037703007459640503e-01,4.995511531829833984e+00,3.274345537647604942e-03
9.586626291275024414e-02,4.933301448822021484e+00,1.125546917319297791e-02
3.595776483416557312e-02,5.241020917892456055e-01,5.230255424976348877e-03
1.152856722474098206e-01,1.715729594230651855e+00,4.665651358664035797e-03
7.742950320243835449e-02,3.810182094573974609e+00,5.698912777006626129e-03
1.204822137951850891e-01,3.400067806243896484e+00,3.090143902227282524e-03
1.128183156251907349e-01,1.794372677803039551e+00,4.405964165925979614e-03
6.714157015085220337e-02,1.702661871910095215e+00,1.145567046478390694e-03
1.111402884125709534e-01,4.902365207672119141e+00,4.427553154528141022e-03
1.452910900115966797e-01,3.449145317077636719e+00,3.689721925184130669e-03
8.906302601099014282e-02,4.764632701873779297e+00,2.468412742018699646e-03
7.034007459878921509e-02,3.385560512542724609e+00,2.155752154067158699e-03
8.898335695266723633e-02,3.786671161651611328e+00,6.541460286825895309e-03
9.220217168331146240e-02,4.859392642974853516e+00,5.825884640216827393e-03
5.543866008520126343e-02,1.474666833877563477e+00,2.421234035864472389e-03
1.568869054317474365e-01,3.655684709548950195e+00,3.271217283327132463e-04
1.336589735001325607e-02,4.961388587951660156e+00,4.133251495659351349e-04
8.167041093111038208e-02,1.586122870445251465e+00,1.132054533809423447e-02
9.075487405061721802e-02,3.469674110412597656e+00,2.864102274179458618e-02
1.925271004438400269e-01,1.833663225173950195e+00,2.231084043160080910e-03
7.441136986017227173e-02,2.065160036087036133e+00,2.363696694374084473e-03
9.399449080228805542e-02,1.679573893547058105e+00,3.710183082148432732e-04
1.006688848137855530e-01,3.439880609512329102e+00,2.305354364216327667e-02
1.079047098755836487e-01,1.923707962036132812e+00,7.819742895662784576e-03
1.215819343924522400e-01,3.531828641891479492e+00,7.410468533635139465e-03
1.534761339426040649e-01,5.727860927581787109e-01,2.028000913560390472e-02
8.540496230125427246e-02,3.442934989929199219e+00,5.363021977245807648e-03
1.256444752216339111e-01,1.514587283134460449e+00,1.042081974446773529e-03
6.347654759883880615e-02,5.879468917846679688e-01,3.676388878375291824e-03
1.301211770623922348e-02,3.366968631744384766e+00,3.098348854109644890e-03
9.613565355539321899e-02,3.434906721115112305e+00,1.916756853461265564e-02
1.519252657890319824e-01,3.426330566406250000e+00,2.939311042428016663e-02
3.196742236614227295e-01,3.625420808792114258e+00,2.318461798131465912e-02
8.023173362016677856e-02,4.972781181335449219e+00,1.477663055993616581e-03
9.522365033626556396e-02,3.625909566879272461e+00,7.870511151850223541e-03
1.105272322893142700e-01,3.839667558670043945e+00,4.986414220184087753e-03
4.244702681899070740e-02,1.671697497367858887e+00,1.611763000255450606e-04
1.000006794929504395e-01,3.348821163177490234e+00,3.241935744881629944e-03
7.037860155105590820e-02,3.249801397323608398e-01,4.273248778190463781e-04
1.264022737741470337e-01,1.382102131843566895e+00,1.188027788884937763e-03
1.713666319847106934e-01,3.509248018264770508e+00,7.481236476451158524e-03
3.929670527577400208e-02,3.363390445709228516e+00,7.848100736737251282e-03
8.774688094854354858e-02,5.440351366996765137e-01,7.736770203337073326e-04
1.213997378945350647e-01,3.383948564529418945e+00,3.508597146719694138e-03
1.373218595981597900e-01,3.430647611618041992e+00,1.156782265752553940e-02
1.073451116681098938e-01,5.045774579048156738e-01,2.026267582550644875e-03
9.841332584619522095e-02,1.554630517959594727e+00,1.744170556776225567e-03
1.189859732985496521e-01,1.399013280868530273e+00,2.735381713137030602e-03
7.889666408300399780e-02,1.573196053504943848e+00,3.065785393118858337e-03
7.415564358234405518e-02,4.953887939453125000e+00,1.024656649678945541e-02
