real_gdp_quarterly,gdp_deflator_quarterly,real_household_consumption_quarterly,real_government_consumption_quarterly,real_capitalformation_quarterly
2.205540386966564018e-03,3.760036961653211510e-03,2.668566347334996088e-03,3.859391189832969866e-03,1.282968663963374167e-02
2.199125845860276478e-03,3.013503766662645536e-03,1.919478549201940939e-03,2.880939058894925291e-03,3.186455050479886086e-02
1.884351270914057718e-03,3.084447828404163552e-03,2.989049372931750718e-03,2.356726290684156826e-03,2.629639644142719654e-02
2.716684086230982016e-03,2.702896206656289074e-03,2.590155921974925893e-03,2.115981976930706322e-03,2.911345655825390427e-02
2.425120961994658205e-03,3.204922030559248947e-03,2.267957007889566737e-03,2.829175562928298773e-03,3.041285797556328094e-02
3.112400798775554790e-03,2.895737141574830208e-03,3.920989962879355833e-03,2.921709887173663291e-03,2.789631648921188367e-02
