# real_gdp_quarterly,gdp_deflator_quarterly,real_household_consumption_quarterly,real_government_consumption_quarterly,real_capitalformation_quarterly
6.801126679967861750e-03,6.134885601181127093e-03,8.222784535400257458e-03,5.970664566764280999e-03,2.072367855735929992e-02
6.988294049691915442e-03,5.805096195519308250e-03,7.544716460178046633e-03,8.309956382431935365e-03,3.540658919927085202e-02
6.872567718704858213e-03,5.824481109470294217e-03,7.410965140366467842e-03,8.218742314997896925e-03,3.094577072230725659e-02
7.097907674192593767e-03,5.944462032880994985e-03,7.225014038658953731e-03,8.633178191632524118e-03,3.353694587126720278e-02
7.178515683611855387e-03,6.038009392158369577e-03,7.023349066297419722e-03,9.112350512480865000e-03,3.612567497195126598e-02
7.833789335894441458e-03,5.946501756991729587e-03,7.858080714838702047e-03,9.673184858115494930e-03,3.488538054798884236e-02
